,iso2,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,10745,1986,1993,1994,1995,1996,1997,1998,1999,2000,Mammalia,iso3
11,AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,14.0,6.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASM
12,AT,0.0,4.0,12.0,39.0,52.0,97.0,193.0,542.0,696.0,859.0,1144.0,1457.0,1612.0,1804.0,2304.0,2646.0,1687.0,1496.0,1054.0,1175.0,2402.0,600.0,702.0,741.0,2913.0,3048.0,3846.0,4475.0,5429.0,5647.0,6123.0,6979.0,7108.0,8282.0,7495.0,8960.0,8775.0,8798.0,9612.0,9518.0,9149.0,9500.0,7884.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,36.0,88.0,0.0,0.0,AUT
13,AU,0.0,2.0,62.0,146.0,159.0,148.0,391.0,2674.0,3122.0,1970.0,1841.0,1549.0,2188.0,1879.0,2019.0,3489.0,3995.0,3799.0,1401.0,1502.0,1695.0,3173.0,4019.0,5232.0,4669.0,4280.0,7913.0,2575.0,2355.0,2278.0,3271.0,3941.0,5956.0,9949.0,14591.0,18231.0,17249.0,29322.0,21525.0,29318.0,30868.0,14704.0,14765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AUS
14,AW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,4.0,13.0,9.0,2.0,2.0,2.0,4.0,12.0,3.0,4.0,5.0,3.0,4.0,79.0,2.0,5.0,5.0,50.0,33.0,32.0,18.0,36.0,45.0,44.0,3.0,42.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,ABW
15,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,25.0,45.0,101.0,195.0,212.0,165.0,8.0,79.0,54.0,35.0,73.0,24.0,21.0,21.0,14.0,41.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZE
16,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,19.0,7.0,9.0,3.0,23.0,15.0,9.0,14.0,9.0,8.0,10.0,13.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIH
17,BB,0.0,5.0,0.0,0.0,16.0,9.0,17.0,7.0,11.0,6.0,15.0,14.0,11.0,23.0,24.0,16.0,26.0,18.0,37.0,33.0,44.0,77.0,66.0,79.0,75.0,110.0,131.0,125.0,147.0,173.0,187.0,212.0,265.0,278.0,60.0,255.0,199.0,187.0,139.0,112.0,147.0,194.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,19.0,0.0,0.0,BRB
18,BD,0.0,1.0,0.0,1.0,2.0,6.0,2.0,3.0,6.0,17.0,67.0,131.0,130.0,150.0,121.0,3.0,90.0,84.0,52.0,6.0,3.0,26.0,12.0,8.0,1.0,7.0,40.0,3.0,1.0,3.0,7.0,4.0,10.0,12.0,29.0,16.0,14.0,60.0,57.0,61.0,41.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,BGD
19,BE,2.0,29.0,96.0,95.0,62.0,87.0,309.0,347.0,387.0,685.0,951.0,1034.0,833.0,1042.0,1022.0,936.0,1185.0,1025.0,1149.0,1396.0,1723.0,1088.0,812.0,1529.0,1555.0,4190.0,7683.0,2374.0,9674.0,2661.0,1649.0,2570.0,2629.0,3002.0,1900.0,2430.0,2966.0,3651.0,4344.0,4023.0,5127.0,5241.0,5436.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,61.0,130.0,84.0,0.0,0.0,BEL
20,BF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,2.0,4.0,20.0,8.0,8.0,17.0,24.0,90.0,21.0,40.0,20.0,14.0,13.0,19.0,44.0,49.0,40.0,22.0,38.0,20.0,33.0,40.0,50.0,57.0,33.0,30.0,9.0,41.0,48.0,44.0,37.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
