,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
726,4202,4202,54567,1984.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,240.0,,US,DO,,T,,I,,9889ae7ec4,
68,101251,101251,5470672,1984.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,shoes,16.0,,SE,IT,SD,,,E,,89a0b84e89,
980,111488,111488,13298018,1984.0,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,25.0,,US,GT,,T,,I,,c7ec55eea4,
84,44778,44778,5061536,1984.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),3.0,,US,IT,CO,,,E,,cfcb3d9b91,
843,45415,45415,5062173,1984.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,shoes,1.0,,US,IT,CO,,,E,,1ba49eb63d,
705,106395,106395,5488384,1984.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),4.0,,US,IT,ID,,,E,,242e2ea4cd,
281,72141,72141,5270811,1984.0,II,Lynx rufus,Mammalia,Carnivora,Felidae,Lynx,skulls,1.0,,DE,CA,,P,,I,,,
647,53254,53254,5148831,1984.0,II,Equus zebra hartmannae,Mammalia,Perissodactyla,Equidae,Equus,trophies,1.0,,US,,,,,I,,620fbc1b79,
16,88457,88457,5391422,1984.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather items,22.0,,US,ES,TH,T,,I,,73541e8395,
792,5614,5614,67301,1984.0,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),6.0,,CH,IT,PY,,,E,,e2179f81b1,
547,36185,36185,5015861,1984.0,II,Amazona aestiva,Aves,Psittaciformes,Psittacidae,Amazona,live,100.0,,XX,AR,,T,,E,,f466e2eea3,
488,12866,12866,183842,1984.0,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,JP,GB,PG,T,,I,,4fb1c3b514,
413,83676,83676,5372854,1984.0,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,shoes,33.0,,US,IT,TH,T,,I,,fdbd9a0f4a,
741,30702,30702,452297,1984.0,II,Rhynchostylis spp.,,Orchidales,Orchidaceae,Rhynchostylis,live,25.0,,US,TH,,T,A,I,,c98d2d2f45,
424,58409,58409,5220512,1984.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,7.0,,GB,DK,XX,T,,E,,,
235,84169,84169,5373347,1984.0,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,US,IT,TH,T,,I,,bb5d9bb4bc,
613,73939,73939,5283998,1984.0,II,Masdevallia spp.,,Orchidales,Orchidaceae,Masdevallia,live,5.0,,US,EC,,,,I,,8f9e64fe69,
