,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
837,1247674,1247674,20106453,2016,II,Laelia sanguiloba,,Orchidales,Orchidaceae,Laelia,live,2.0,,CA,EC,,T,A,E,,190753c602,
373,763006,763006,18507916,2016,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,caviar,2450.0,g,AE,FR,XX,T,C,I,799775ed9c,bac8d2c26e,
924,157113,157113,17782362,2016,II,Ferocactus townsendianus,,Caryophyllales,Cactaceae,Ferocactus,live,2.0,,BQ,NL,,,A,E,,1f6805f3e6,
164,903390,903390,18652007,2016,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),30.0,,KR,AT,US,T,W,I,,cb6873cf65,
767,792398,792398,18540343,2016,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,CN,TH,US,T,W,E,,f5d514b31f,
547,1223612,1223612,19797941,2016,II,Lobophyllia spp.,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,40.0,,US,FJ,,T,W,E,,28d5cb9abe,
380,1181022,1181022,18978538,2016,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,rug,1.0,,US,CA,,H,W,E,,af12d13c3c,
957,663566,663566,18397990,2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),2.0,,FR,CH,VN,T,C,I,400de8ea59,feed833a24,c193266727
76,574531,574531,18308671,2016,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,trophies,2.0,,AT,,,H,W,E,,56e9adf7d0,
271,834035,834035,18582652,2016,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,SM,CH,US,T,W,E,,026c89a8b2,78dfdd75db
