,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
975,6621,6621,5151285,1979,II,Eunectes murinus,Reptilia,Serpentes,Boidae,Eunectes,shoes,2.0,,US,IT,AR,T,,I,,,
320,10658,10658,5429791,1979,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,live,5000.0,,GB,AR,,T,,I,,,
576,2699,2699,304904,1979,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,90.0,,IL,CH,XX,,,E,,,
560,9374,9374,5311914,1979,II,Ornithoptera tithonus,Insecta,Lepidoptera,Papilionidae,Ornithoptera,bodies,2.0,,CH,DE,,S,,I,,,
865,1310,1310,157067,1979,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather items,56.0,,HK,DE,ID,,,E,,,
858,11612,11612,5481632,1979,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),7.0,,OM,GB,XX,,,E,,,
22,3799,3799,438810,1979,II,Python sebae,Reptilia,Serpentes,Pythonidae,Python,live,25.0,,DK,KE,,T,,I,,,
913,8462,8462,5267035,1979,II,Lycalopex culpaeus,Mammalia,Carnivora,Canidae,Lycalopex,live,2.0,,DE,PE,,S,,E,,,
843,3154,3154,344922,1979,II,Odontoglossum spp.,,Orchidales,Orchidaceae,Odontoglossum,live,130.0,,GB,BR,,,,I,,,
715,7766,7766,5185137,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,skins,69.0,,DE,GB,XX,,,E,,,
325,9364,9364,5309644,1979,II,Ornithocephalus spp.,,Orchidales,Orchidaceae,Ornithocephalus,live,72.0,,US,HN,,T,,I,,,
704,1603,1603,192742,1979,II,Cyathea spp.,,Cyatheales,Cyatheaceae,Cyathea,live,1.0,,GB,NZ,,,,I,,,
458,5990,5990,5093351,1979,II,Cleistocactus spp.,,Caryophyllales,Cactaceae,Cleistocactus,live,1.0,,IE,GB,,,,E,,,
