,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
518,466912,466912,11704609,2010,II,Favia pallida,Anthozoa,Scleractinia,Faviidae,Favia,live,7.0,,DE,ID,,T,W,I,5756770ccc,,8ce76da6da
313,155478,155478,4285038,2010,II,Montastrea valenciennesi,Anthozoa,Scleractinia,Faviidae,Montastrea,live,5.0,,ZA,ID,,T,W,E,,f50e6ccda0,
957,888154,888154,13965553,2010,II,Stenia spp.,,Orchidales,Orchidaceae,Stenia,live,1.0,,DE,EC,,T,A,I,b567224d2a,,ea2fa7a742
938,596220,596220,11945005,2010,II,Tillandsia kautskyi,,Bromeliales,Bromeliaceae,Tillandsia,live,5.0,,CH,HU,,T,A,E,,388008bb6f,
363,663214,663214,12089705,2010,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),12.0,,DE,CH,US,T,W,E,,4d76596e04,5f1bd38b07
443,475288,475288,11718277,2010,II,Furcifer verrucosus,Reptilia,Sauria,Chamaeleonidae,Furcifer,live,50.0,,US,MG,,T,W,E,,,
343,859442,859442,13477722,2010,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skulls,1.0,,DE,CA,,H,W,E,,9f00e3fd21,
618,881785,881785,13871437,2010,II,Pericopsis elata,,Fabales,Leguminosae,Pericopsis,logs,33.895,m3,JP,CD,,T,W,E,,d08494bde4,
642,679891,679891,12106382,2010,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),11.0,,IT,CH,US,T,W,E,,a734484e86,22125dce19
161,145369,145369,4260441,2010,II,Lobophyllia corymbosa,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,15.0,,NL,ID,,T,W,E,,c0b03846dc,
31,64451,64451,4111676,2010,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,195.0,,SG,ZW,,T,C,E,,c83216a039,
341,323115,323115,11047020,2010,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,NL,CH,US,T,W,I,396e4e3946,f25b193665,173b799c30
635,374958,374958,11567950,2010,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (large),1.0,,US,IT,US,T,W,I,,0bddf9be8a,
383,147750,147750,4263567,2010,II,Lobophyllia spp.,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,10.0,,US,ID,,T,W,E,,0448147894,
625,270998,270998,4617734,2010,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),265.0,,CH,IT,ZW,T,C,I,,41b1203b33,0935e7439e
252,169839,169839,4309750,2010,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,504.0,,JP,TW,,T,A,I,,adcd838037,
842,720108,720108,12146632,2010,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JP,CH,US,T,W,E,,62b4bb698c,0ceb61c1f1
584,380973,380973,11573965,2010,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),26.0,,US,CH,US,T,W,I,,b20cbc66b1,
424,750118,750118,12255781,2010,II,Cleistocactus winteri,,Caryophyllales,Cactaceae,Cleistocactus,live,14.0,,CH,DE,,T,A,I,,5cd89949b3,
211,455997,455997,11685399,2010,II,Equus zebra hartmannae,Mammalia,Perissodactyla,Equidae,Equus,feet,4.0,,US,ZA,,H,W,E,,cb5f590530,
255,220899,220899,4437159,2010,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,300.0,,TR,ID,,T,W,I,,b1dddaaab2,
12,767513,767513,12287031,2010,II,Euphorbia lactea,,Euphorbiales,Euphorbiaceae,Euphorbia,live,3.0,,CH,NL,,T,A,I,,df40b0ece6,
454,605996,605996,11973231,2010,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,H,W,I,,,
55,504441,504441,11774025,2010,II,Lueddemannia pescatorei,,Orchidales,Orchidaceae,Lueddemannia,live,1.0,,US,CO,,T,A,E,,fcc9929aeb,
134,843022,843022,13090614,2010,II,Catalaphyllia jardinei,Anthozoa,Scleractinia,Caryophylliidae,Catalaphyllia,live,15.0,,DK,AU,,T,W,E,,85f42375c9,
548,168837,168837,4308748,2010,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,760.0,,JP,TW,,T,A,I,,03f1009453,
546,338583,338583,11517563,2010,II,Acropora valida,Anthozoa,Scleractinia,Acroporidae,Acropora,live,2.0,,US,ID,,T,W,I,,91dde15036,
