,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
687,134961,134961,134961,5718745,1988.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,650.0,g,FR,GA,,,,I,,fed9d9fe77,
653,59539,59539,59539,446185,1988.0,III,Pytilia phoenicoptera,Aves,Passeriformes,Estrildidae,Pytilia,live,200.0,,NL,GN,,,,I,,903d9eaeac,
606,223084,223084,223084,13466753,1988.0,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,skins,1000.0,,CH,IT,BO,,,E,,b8c4029f1f,
584,5389,5389,5389,45637,1988.0,II,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,live,2.0,,RE,SG,ID,T,,E,,ebd44f87a8,
700,143841,143841,143841,5756046,1988.0,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,200.0,,DE,BR,,T,A,I,,f45cb7cfb6,
334,169173,169173,169173,5847293,1988.0,III,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,garments,2.0,,US,IT,ID,,,E,,143da1b1c0,
28,166995,166995,166995,5844804,1988.0,III,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,shoes,26.0,,FR,ES,ID,T,,E,,cb1e4c0f82,
173,28392,28392,28392,209251,1988.0,II,Cymbidium sinense,,Orchidales,Orchidaceae,Cymbidium,live,1.0,,US,TH,,T,,I,,fc5b62aea0,
719,66396,66396,66396,499805,1988.0,II,Zamiaceae spp.,,Cycadales,Zamiaceae,,live,4.0,,BZ,US,BZ,,,E,,1ac9720ad3,
85,106491,106491,106491,5633489,1988.0,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,live,20.0,,KW,SG,ID,T,,E,,2edfd701c9,
574,31068,31068,31068,226939,1988.0,II,Dendrobium spp.,,Orchidales,Orchidaceae,Dendrobium,live,120.0,,DE,TH,,T,A,I,,b2a1b9ad11,
731,210746,210746,210746,5987510,1988.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),16.0,,CH,IT,TH,,,E,,f1b2a58f32,
580,143102,143102,143102,5753444,1988.0,II,Nycticebus coucang,Mammalia,Primates,Lorisidae,Nycticebus,live,1.0,,CN,HK,XX,,,E,,08f94b2881,
775,92821,92821,92821,5579533,1988.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),357.0,,US,DE,GY,T,,E,,7e03bd6866,
200,119187,119187,119187,5700058,1988.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1.0,,PK,TZ,,P,,E,,68710fd664,
543,153753,153753,153753,5791937,1988.0,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,carvings,2.0,,DK,GL,,P,,I,,3a3fe95abb,
781,148677,148677,148677,5774368,1988.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,trophies,2.0,,ZA,ZW,,,,E,,,
168,51615,51615,51615,393011,1988.0,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,live,2.0,,BN,ZA,,P,C,E,,402d995bb9,
272,66273,66273,66273,498867,1988.0,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,hair,4.0,kg,JP,GB,XX,T,,E,,0ff867c685,
251,61318,61318,61318,456113,1988.0,II,Salvator rufescens,Reptilia,Sauria,Teiidae,Salvator,skins,1000.0,,US,AR,,,,E,,c7f8d586cc,
750,50174,50174,50174,380520,1988.0,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,2500.0,kg,HK,CA,,T,,E,,6bc6d5e6d1,
