,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
990,346806,346806,346806,7954945,1999.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,US,CA,,H,W,E,,94fbc2d983,
858,382702,382702,382702,8433247,1999.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,meat,1.0,,US,CA,,H,W,E,,6ce2d7a31a,
725,384279,384279,384279,8434824,1999.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,bodies,1.0,,US,CA,,H,W,E,,13d6d7cdc7,
824,269626,269626,269626,7359192,1999.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (large),2.0,,JP,IT,ID,T,W,E,,b7cfe3399c,
419,66550,66550,66550,1272041,1999.0,II,Lobophyllia spp.,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,20.0,,US,ID,,T,W,I,,96ab3d0f60,
962,53865,53865,53865,1209656,1999.0,II,Favites spp.,Anthozoa,Scleractinia,Faviidae,Favites,live,19.0,,US,ID,,T,W,I,,e91554fc18,
412,293069,293069,293069,7459842,1999.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,,W,I,,376530d7d6,
850,284707,284707,284707,7406681,1999.0,III,Uraeginthus bengalus,Aves,Passeriformes,Estrildidae,Uraeginthus,live,100.0,,CA,DE,SN,T,W,E,,21b980e331,d90fa91482
783,304045,304045,304045,7492088,1999.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),20.0,,DE,CH,ID,T,W,I,6.66E+38,fb545afd3c,10572bb578
431,124003,124003,124003,1487011,1999.0,II,Turbinaria peltata,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,live,40.0,,US,ID,,T,W,E,,702fa23218,
758,137243,137243,137243,1708070,1999.0,II,Falco mexicanus,Aves,Falconiformes,Falconidae,Falco,live,1.0,,MX,CA,,P,C,E,,8f4abd8188,
164,319823,319823,319823,7742809,1999.0,II,Macaca mulatta,Mammalia,Primates,Cercopithecidae,Macaca,skulls,1.0,,TH,CA,XX,E,W,E,,18a32caa27,
754,122127,122127,122127,1485008,1999.0,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,live,4.0,,IL,US,GY,T,W,E,,d5581a14cc,
720,320378,320378,320378,7749407,1999.0,II,Montipora foliosa,Anthozoa,Scleractinia,Acroporidae,Montipora,live,11.0,,NL,ID,,T,W,I,8b41ce6d9a,e5db0fc4cd,
12,31959,31959,31959,1123999,1999.0,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),2.0,,JP,IT,MZ,T,W,E,,109508da14,
154,140984,140984,140984,1799667,1999.0,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,10.0,,JP,CO,,T,A,I,,0ead443438,
223,284963,284963,284963,7406942,1999.0,III,Uraeginthus bengalus,Aves,Passeriformes,Estrildidae,Uraeginthus,live,150.0,,BE,ML,,T,W,I,,78597d8ac2,
967,385422,385422,385422,8435967,1999.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,US,CA,,P,W,E,,874f46bcde,
320,371742,371742,371742,8312280,1999.0,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,2.0,,GB,CA,,T,A,E,,0a07b13c66,
446,336776,336776,336776,7944915,1999.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,US,CA,,H,W,E,,0f68914d99,
681,57268,57268,57268,1235585,1999.0,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,live,21.0,,US,ID,,T,W,I,,d72aca8498,
910,227560,227560,227560,7196839,1999.0,II,Goniastrea spp.,Anthozoa,Scleractinia,Faviidae,Goniastrea,live,2.0,,US,FJ,,T,W,I,,1045c7cf9d,
475,259501,259501,259501,7322237,1999.0,II,Poicephalus senegalus,Aves,Psittaciformes,Psittacidae,Poicephalus,live,250.0,,FR,GN,,T,W,E,,907b5ed071,
755,339378,339378,339378,7947517,1999.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,US,CA,,H,W,E,,bbd37820f7,
913,391702,391702,391702,13100250,1999.0,II,Chaubardiella spp.,,Orchidales,Orchidaceae,Chaubardiella,live,2.0,,AU,EC,,T,A,E,,3280048e1e,
941,392560,392560,392560,13115106,1999.0,II,Cyclopsitta spp.,Aves,Psittaciformes,Psittacidae,Cyclopsitta,live,6.0,,DE,ID,,T,C,I,4fac73f5d1,bf00fbdfee,
573,268483,268483,268483,7358049,1999.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),140.0,,US,MX,ID,T,W,I,,6faf23fbf4,
808,320368,320368,320368,7749298,1999.0,II,Montastrea spp.,Anthozoa,Scleractinia,Faviidae,Montastrea,live,50.0,,CA,FJ,,T,W,I,,54d38dbde7,
162,190387,190387,190387,7076740,1999.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),394.0,,MX,US,,T,W,E,,ff65799b48,
478,10419,10419,10419,1037652,1999.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,740.0,,US,CA,,T,A,I,,93d531b394,
71,39331,39331,39331,1156910,1999.0,II,Dendrobium spp.,,Orchidales,Orchidaceae,Dendrobium,live,80.0,,BN,MY,,T,A,E,,edd6400c29,
445,312850,312850,312850,7625726,1999.0,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,trophies,1.0,,DE,RU,,H,W,E,,0e16105997,
719,150490,150490,150490,1941002,1999.0,II,Stenocactus spp.,,Caryophyllales,Cactaceae,Stenocactus,live,3.0,,US,CA,,T,A,E,,9aaddfbf5a,
216,100070,100070,100070,1421373,1999.0,II,Scleractinia spp.,Anthozoa,Scleractinia,,,live,109.0,,US,FJ,,T,W,I,,36b3206025,
963,54947,54947,54947,1211950,1999.0,II,Fungia paumotensis,Anthozoa,Scleractinia,Fungiidae,Fungia,live,20.0,,US,ID,,T,W,E,,8ac8b87098,
832,297566,297566,297566,7479124,1999.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),10.0,,FR,CH,CM,T,W,I,2961815ed3,c73f99f3c5,0fd332670d
882,386393,386393,386393,8481589,1999.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),20.0,,JP,CH,ML,T,W,I,,ec45fc3646,
357,310484,310484,310484,7516425,1999.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),40.0,,NL,CH,US,T,C,I,a094c02d49,,fc2e020414
