,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
390,84848,84848,84848,6007661,1992.0,II,Agapornis personatus,Aves,Psittaciformes,Psittacidae,Agapornis,live,7.0,,JP,TW,,T,C,I,,47e22868b7,
345,155525,155525,155525,6283121,1992.0,II,Phalaenopsis schilleriana,,Orchidales,Orchidaceae,Phalaenopsis,live,3.0,,FI,DK,NL,T,,I,,,
964,15231,15231,15231,600350,1992.0,II,Cattleya spp.,,Orchidales,Orchidaceae,Cattleya,live,2.0,,JP,TH,,T,A,I,,8c0a2c5b5f,
318,92784,92784,92784,6036322,1992.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JP,IT,US,T,W,I,,c7c4d60056,
186,135083,135083,135083,6207710,1992.0,II,Leiopython albertisii,Reptilia,Serpentes,Pythonidae,Leiopython,live,32.0,,US,ID,,,,E,,1f1a15ca4e,
95,191871,191871,191871,6426128,1992.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,meat,22.73,kg,US,CA,,H,W,E,,1735b2e99f,
102,14696,14696,14696,599305,1992.0,II,Cattleya spp.,,Orchidales,Orchidaceae,Cattleya,live,10.0,,JP,MY,,T,A,E,,e1e5628764,
209,15883,15883,15883,605193,1992.0,III,Cerberus rynchops,Reptilia,Serpentes,Colubridae,Cerberus,leather products (small),110.0,,DE,PH,,T,W,E,,cdbc47229d,
846,2068,2068,2068,510715,1992.0,II,Anacampseros filamentosa,,Caryophyllales,Portulacaceae,Anacampseros,live,1.0,,MT,ZA,,T,A,E,,73575add63,
570,37136,37136,37136,728354,1992.0,II,Euphorbia spp.,,Euphorbiales,Euphorbiaceae,Euphorbia,live,3.0,,US,MG,,S,,E,,7a9658594b,
621,136791,136791,136791,6218871,1992.0,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,tusks,36.0,kg,US,ZW,,,W,E,,3d86e12574,
666,112125,112125,112125,6123183,1992.0,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,skins,1.0,,ES,CA,,P,W,E,,6139e7a233,
358,168963,168963,168963,6345367,1992.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,skins,320.0,,US,GB,ID,T,W,E,,e42dec5a75,e39606146e
220,4930,4930,4930,527480,1992.0,II,Brassavola nodosa,,Orchidales,Orchidaceae,Brassavola,live,1800.0,,US,MX,,T,U,I,,5964a976a7,
556,169093,169093,169093,6346181,1992.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather items,6.0,,US,CH,TH,T,W,I,,,
637,146341,146341,146341,6250480,1992.0,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,30.0,,JP,TW,,T,A,I,,54809a1fb4,
217,114597,114597,114597,6132574,1992.0,II,Cephalocereus senilis,,Caryophyllales,Cactaceae,Cephalocereus,live,5000.0,,NL,BR,,T,A,E,,9c463dab91,
937,74840,74840,74840,962464,1992.0,I,Stangeria eriopus,,Cycadales,Stangeriaceae,Stangeria,live,10.0,,NL,ZA,,P,A,E,,b34dba531e,
927,224155,224155,224155,13279809,1992.0,II,Mormodes spp.,,Orchidales,Orchidaceae,Mormodes,live,1.0,,US,BR,,T,A,E,,7b565930cc,
626,148008,148008,148008,6258483,1992.0,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,16.0,,CA,US,,T,A,E,,ea7e93aac3,
487,162127,162127,162127,6322022,1992.0,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,shoes,4806.0,,HK,CN,,T,W,E,,5bd73d5bd1,
469,124860,124860,124860,6168034,1992.0,II,Eunectes murinus,Reptilia,Serpentes,Boidae,Eunectes,shoes,2.0,,US,IT,VE,T,W,I,,8ba3161e99,
383,203471,203471,203471,6437728,1992.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,Q,W,E,,704ca5f1fb,
193,216385,216385,216385,6734365,1992.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,MX,TZ,,P,,I,d354e68413,,
628,92993,92993,92993,6036531,1992.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,JP,IT,US,T,W,I,,7f23b662a2,
820,6957,6957,6957,537822,1992.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,18.0,,US,CA,,T,A,I,,9c5eff09e0,
653,185584,185584,185584,6411154,1992.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,meat,73.0,kg,US,CA,,,W,I,,1b3ae8dd23,
133,175267,175267,175267,6366711,1992.0,II,Trachyphyllia spp.,Anthozoa,Scleractinia,Trachyphylliidae,Trachyphyllia,live,4.0,,DE,ID,,T,,I,3e94e9989a,,
7,66537,66537,66537,914729,1992.0,II,Python sebae,Reptilia,Serpentes,Pythonidae,Python,shoes,12.0,,US,ES,ML,T,W,E,,8779ea819f,28d062d79d
408,131479,131479,131479,6192888,1992.0,II,Iguana iguana,Reptilia,Sauria,Iguanidae,Iguana,live,20.0,,US,GY,,,W,E,,5028fe84f3,
853,50128,50128,50128,815459,1992.0,II,Miltonia spectabilis,,Orchidales,Orchidaceae,Miltonia,live,1.0,,CA,FR,,,A,E,,2143425b9c,
814,20262,20262,20262,627156,1992.0,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,JP,DE,ZA,T,C,E,,051e707e45,
686,163119,163119,163119,6323014,1992.0,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,shoes,9.0,,DE,HK,CN,T,,I,3177aeaa58,,
713,46522,46522,46522,793132,1992.0,II,Laelia rubescens,,Orchidales,Orchidaceae,Laelia,live,15.0,,DE,MX,,T,A,I,83760b27a4,,
698,49828,49828,49828,814147,1992.0,II,Melocactus bahiensis,,Caryophyllales,Cactaceae,Melocactus,live,170.0,,NL,BR,,T,A,E,,2b409c35c1,
