,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
38,482306,482306,482306,10716958,2008,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,PK,CH,US,T,C,E,,280a2b8f53,6a0377f0c3
608,798668,798668,798668,11386730,2008,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),17.0,,CH,FR,MY,T,W,I,,7dddf08a00,68e1bebf50
455,583072,583072,583072,10836928,2008,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,specimens,12.0,,US,DE,MU,S,F,E,,183da02053,32218ffd1d
492,699999,699999,699999,10989482,2008,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2.0,,RU,IT,MY,T,W,E,,8d48286a23,
136,796659,796659,796659,11384721,2008,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),3.0,,CH,IT,ID,T,W,I,,3aefe5e86b,b3e5749ccf
322,813232,813232,813232,11440741,2008,II,Stenocereus pruinosus,,Caryophyllales,Cactaceae,Stenocereus,live,3.0,,CH,NL,ES,T,A,I,,3a8809d655,5daea36f81
207,134104,134104,134104,3743071,2008,II,Euphyllia glabrescens,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,2.0,,US,ID,,T,W,E,,43725c4336,
116,10830,10830,10830,3521756,2008,II,Blossfeldia liliputana,,Caryophyllales,Cactaceae,Blossfeldia,live,150.0,,JP,PE,,T,A,I,,ca22c5b697,
114,402312,402312,402312,10550914,2008,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),6.0,,FR,CH,US,T,W,I,e20467e92a,52b7466d56,c9f04908e3
513,501656,501656,501656,10736308,2008,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),14.0,,US,CH,US,T,W,E,,37c8059724,025a2a0ffc
