,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
909,278764,278764,19330144,2017,II,Pachycereus pringlei,,Caryophyllales,Cactaceae,Pachycereus,live,3.0,,CH,NL,,,A,E,,2b71b94c63,
763,255688,255688,19295969,2017,II,Mammillaria spinosissima,,Caryophyllales,Cactaceae,Mammillaria,live,6.0,,CH,NL,,,A,E,,9176c4c534,
671,434424,434424,19534429,2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,skin pieces,2.0,,HK,FR,US,T,W,E,,03ac16cdc6,19b7e1e0cf
282,358583,358583,19429860,2017,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,CN,IT,ID,P,W,E,,4c1dc4d256,
692,486413,486413,19587453,2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,US,CH,US,T,W,I,,f923f027bf,
627,8872,8872,18701609,2017,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),4.0,,SG,AT,CO,T,C,E,,d62efe65c3,77b2dfa59d
639,349533,349533,19420810,2017,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),2.0,,AE,IT,ID,T,W,E,,08ab12e77c,
30,177790,177790,19182259,2017,II,Dalbergia melanoxylon,,Fabales,Leguminosae,Dalbergia,carvings,7.0,,CH,DE,XX,T,O,E,,dd60876b90,
548,784529,784529,19932563,2017,I,Scleropages formosus,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,live,7.0,,DE,SG,,T,D,E,,fa574e730a,
620,764126,764126,19907510,2017,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,JP,NL,ID,T,W,I,,5aaab86fe6,
749,278666,278666,19330046,2017,II,Pachycereus pringlei,,Caryophyllales,Cactaceae,Pachycereus,live,2.0,,GE,NL,,,A,E,,1e1f35f1d3,
730,763862,763862,19907246,2017,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,JP,SG,VN,T,C,I,,4546d42b61,
