,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
128,262501,262501,4397897,2009,II,Porites spp.,Anthozoa,Scleractinia,Poritidae,Porites,raw corals,7.0,,JP,ID,,T,W,I,,959419c772,
818,676150,676150,11521304,2009,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,CH,MY,US,T,C,E,,330ce7519c,
984,655531,655531,11479664,2009,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),1.0,,UA,CH,CM,T,W,E,,de810c2ace,98735605a0
664,68042,68042,3790648,2009,II,Ludisia discolor,,Orchidales,Orchidaceae,Ludisia,live,60.0,,UA,NL,,,A,E,,6380812992,
787,79331,79331,3861603,2009,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,DE,TZ,,P,W,I,c2ab917240,2f8806eed8,
31,36614,36614,3663137,2009,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),3.0,,CH,IT,MZ,T,C,E,,bfd67f98ae,
234,800975,800975,11894660,2009,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,skins,300.0,,JP,VN,,T,C,E,,c19debdcb9,
365,311947,311947,4725423,2009,II,Echinopsis tarijensis,,Caryophyllales,Cactaceae,Echinopsis,live,1.0,,US,CA,,T,A,E,,d26a7fe51c,
832,144508,144508,4091343,2009,II,Cleistocactus strausii,,Caryophyllales,Cactaceae,Cleistocactus,live,3.0,,US,CA,,T,A,E,,,
482,375548,375548,11062366,2009,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),50.0,,FR,CH,US,T,W,I,ea10a46b9e,e5060aafc0,03feeade6b
608,200870,200870,4246538,2009,II,Herpolitha limax,Anthozoa,Scleractinia,Fungiidae,Herpolitha,live,2.0,,US,ID,,T,W,E,,,40a56651cd
250,650506,650506,11474542,2009,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2.0,,JP,AT,TD,T,W,E,,60f296ccf2,
786,545338,545338,11281261,2009,II,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,teeth,12.0,,AT,ZM,,H,W,I,2706a971b7,f1887e6102,
880,444537,444537,11131417,2009,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,US,CH,US,T,W,E,,4e32f272b0,03feeade6b
84,532018,532018,11247517,2009,II,Euphyllia divisa,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,4.0,,US,ID,,T,W,I,,1dc7943a49,
353,151647,151647,4119954,2009,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),6.0,,HK,JP,ZM,T,R,E,,f44a488b80,
201,125485,125485,4039793,2009,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),24.0,,US,HK,BO,T,W,I,,95f6a7a4f0,
610,513631,513631,11217785,2009,II,Cycadaceae spp.,,Cycadales,Cycadaceae,,live,255.0,,CA,US,,T,A,E,,b6d3080b6a,
863,345296,345296,11015357,2009,II,Acropora valida,Anthozoa,Scleractinia,Acroporidae,Acropora,live,3.0,,US,ID,,T,W,I,,8d95bb93f6,
288,322880,322880,4992643,2009,II,Vanda testacea,,Orchidales,Orchidaceae,Vanda,live,5.0,,KR,MM,,Q,A,I,,83aaab5d34,
238,787736,787736,11861573,2009,II,Porroglossum muscosum,,Orchidales,Orchidaceae,Porroglossum,live,2.0,,ZA,EC,,T,A,E,,4cc848ccac,
380,190038,190038,4219814,2009,II,Fungia paumotensis,Anthozoa,Scleractinia,Fungiidae,Fungia,live,5.0,,JP,ID,,T,W,E,,,1d84005f61
504,269790,269790,4420703,2009,II,Salvator rufescens,Reptilia,Sauria,Teiidae,Salvator,leather products (small),142.0,,US,MX,AR,T,W,I,,655fa8e3c8,
590,886867,886867,13637812,2009,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),2.0,,US,IT,PG,T,W,E,,bd2c39049e,
630,193370,193370,4228155,2009,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,live,7.0,,US,TO,,T,W,I,,7b4dd0fdf5,
798,477846,477846,11164777,2009,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,US,FR,US,T,W,I,,65aca0030b,
595,362200,362200,11049018,2009,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,CH,FR,US,T,C,E,,ba81fcfec8,d52d50bae5
449,432000,432000,11118880,2009,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),3.0,,HK,CH,US,T,C,E,,aa785c199b,5997089127
960,174144,174144,4180159,2009,I,Encephalartos schmitzii,,Cycadales,Zamiaceae,Encephalartos,live,2.0,,US,ZA,,T,D,E,,97cc89ca65,
369,264537,264537,4406683,2009,II,Python molurus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,JP,TW,VN,T,C,I,,ac4b549f56,
875,769865,769865,11820937,2009,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,2500.0,,US,TH,,T,A,I,,cc0c8ef428,
447,493019,493019,11186269,2009,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),2.0,,FR,CH,VE,T,W,I,8b170c995c,4183b2ab85,f779b3b93b
318,194765,194765,4235203,2009,II,Gymnocalycium mihanovichii,,Caryophyllales,Cactaceae,Gymnocalycium,live,230.0,,US,CA,,T,A,E,,,
918,632681,632681,11431662,2009,II,Rhipsalis baccifera,,Caryophyllales,Cactaceae,Rhipsalis,live,3.0,,CH,DE,,T,A,I,,067f330028,
788,246540,246540,4361051,2009,II,Phalaenopsis hybrid,,Orchidales,Orchidaceae,Phalaenopsis,live,10000.0,,JP,CN,,T,A,E,,31b44e13fb,
158,53982,53982,3719860,2009,II,Echinopsis spp.,,Caryophyllales,Cactaceae,Echinopsis,live,4.0,,CH,BE,,T,A,I,,b3d4c4681c,
337,391350,391350,11078230,2009,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),12.0,,CH,IT,US,T,W,E,,c9f0b72c2a,
845,894944,894944,13795584,2009,II,Mammillaria rhodantha,,Caryophyllales,Cactaceae,Mammillaria,live,5.0,,US,CA,,T,A,E,,,
