,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
21,242789,242789,242789,3359681,2006.0,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,1.0,,US,ID,,T,W,E,,3dd4d6a682,
5,539187,539187,539187,9789436,2006.0,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,specimens,2.0,ml,US,FR,PH,S,C,E,,0427b66c0a,a3de53e3b5
318,659891,659891,659891,9939160,2006.0,II,Trioceros goetzei,Reptilia,Sauria,Chamaeleonidae,Trioceros,live,20.0,,DE,TZ,,T,F,I,b0376830b8,2f7a9f88c9,
646,540883,540883,540883,9791137,2006.0,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,specimens,25.0,ml,US,CA,CN,M,C,E,,41945dd82c,
323,775331,775331,775331,10146395,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,HK,CH,US,T,C,E,,a276e10bec,2ac1300ecf
678,593439,593439,593439,9856090,2006.0,II,Pilosocereus lanuginosus,,Caryophyllales,Cactaceae,Pilosocereus,live,3.0,,US,CA,,T,A,E,,23f851f213,
944,110279,110279,110279,3113057,2006.0,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,204.0,,CN,SG,ZM,T,R,I,10cbf44995,ea8367f816,6e69b57eb3
909,345848,345848,345848,9546791,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,GB,CH,US,T,C,I,9acb9d20e3,08608b6fc4,5110e55fb7
441,414799,414799,414799,9615752,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,TH,SG,US,T,C,I,,3b7eed194b,
620,740228,740228,740228,10111292,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),90.0,,AU,CH,US,T,R,E,,026969ddf4,a454cb46d4
370,120379,120379,120379,3142468,2006.0,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,AT,JP,PG,T,W,E,,71a94d4df5,
681,458400,458400,458400,9680073,2006.0,II,Cephalocereus senilis,,Caryophyllales,Cactaceae,Cephalocereus,live,252.0,,US,CA,,T,A,E,,ecc07e6acf,
30,390200,390200,390200,9591153,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (large),1.0,,IT,JP,US,T,W,I,eb69d26aad,555bfe326e,
659,527619,527619,527619,9772713,2006.0,II,Lobophyllia hemprichii,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,3.0,,PT,ID,,T,W,I,,9c58dfb4bb,
355,298449,298449,298449,3474472,2006.0,II,Tridacnidae spp.,Bivalvia,Veneroida,Tridacnidae,,meat,3.0,,NZ,CK,,P,W,I,,d3a55346c8,
432,740253,740253,740253,10111317,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),8.0,,RU,CH,US,T,C,E,,ab66b30365,29a8d9a3d2
402,58551,58551,58551,3028292,2006.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,8993.0,,US,CA,,T,A,I,,a9b3ab9690,
154,329693,329693,329693,9516277,2006.0,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,live,20.0,,US,ID,,T,W,E,,77767a36f8,
138,837857,837857,837857,10480326,2006.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),3.0,,JP,CH,TD,T,W,E,,97d958c625,29dc509c38
829,35636,35636,35636,2907859,2006.0,II,Python sebae,Reptilia,Serpentes,Pythonidae,Python,trophies,1.0,,ES,CM,,H,W,I,,dd793ffa73,
55,481471,481471,481471,9709437,2006.0,II,Equus zebra hartmannae,Mammalia,Perissodactyla,Equidae,Equus,trophies,2.0,,AT,,,H,W,E,,ddb3f3a1b9,
795,836085,836085,836085,10478554,2006.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),20.0,,VG,CH,CM,T,W,E,,49ad2ce99e,c499deb9ab
562,240232,240232,240232,3357123,2006.0,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,4.0,,NO,SG,ID,T,W,E,,a2b4f8fb7f,
610,292204,292204,292204,3462900,2006.0,II,Trachyphyllia geoffroyi,Anthozoa,Scleractinia,Trachyphylliidae,Trachyphyllia,live,5.0,,CA,ID,,T,W,I,,a4cdd52d49,
560,63497,63497,63497,3035372,2006.0,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),1.0,pairs,JP,IT,BO,T,W,I,,dccde22356,
319,147015,147015,147015,3197752,2006.0,II,Espostoa melanostele,,Caryophyllales,Cactaceae,Espostoa,live,1296.0,,US,CA,,T,A,E,,866488a3f0,
775,521015,521015,521015,9764555,2006.0,II,Hydnophora exesa,Anthozoa,Scleractinia,Merulinidae,Hydnophora,live,4.0,,US,SB,,T,W,I,,d237322304,
65,407738,407738,407738,9608691,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,US,MY,XX,T,W,I,,,
664,860001,860001,860001,13880910,2006.0,II,Pilosocereus pachycladus,,Caryophyllales,Cactaceae,Pilosocereus,live,174.0,,US,CA,,T,A,E,,f6f672db82,
479,309680,309680,309680,3497558,2006.0,II,Weberbauerocereus churinensis,,Caryophyllales,Cactaceae,Weberbauerocereus,live,2.0,,US,CA,,T,A,E,,617962cd2d,
972,356545,356545,356545,9557497,2006.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JP,FR,US,P,W,E,,60fe86c802,187beba34f
52,461050,461050,461050,9683406,2006.0,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,skins,1.0,,US,ZA,,H,W,E,,4758ccc777,
617,513777,513777,513777,9754461,2006.0,II,Grus canadensis,Aves,Gruiformes,Gruidae,Grus,trophies,3.0,,US,CA,,H,W,I,,,
895,30406,30406,30406,2842228,2006.0,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,FR,TZ,,H,W,I,76ccacbeea,be55823f4e,
37,680818,680818,680818,9962448,2006.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,H,W,I,,,
311,554387,554387,554387,9807114,2006.0,II,Merulina ampliata,Anthozoa,Scleractinia,Merulinidae,Merulina,live,5.0,,PL,ID,,T,W,I,,238a5f2e29,
570,98761,98761,98761,3100828,2006.0,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),2.0,,US,CH,ZW,T,C,I,,24ab18c0ce,
