,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
758,46369,46369,5090548,1983.0,II,Chelonoidis denticulatus,Reptilia,Testudines,Testudinidae,Chelonoidis,specimens,1.0,,US,PH,XX,S,,I,,,
912,13915,13915,183295,1983.0,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,37.0,,IT,FR,ID,T,,I,,,
745,99905,99905,13130014,1983.0,II,Dichaea spp.,,Orchidales,Orchidaceae,Dichaea,live,2.0,,US,DE,,T,A,I,,6e94a1c8b5,
587,24905,24905,357782,1983.0,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,626.0,,US,TH,,T,,I,,21ea0370ed,
434,10510,10510,143958,1983.0,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather items,1.0,,CH,FR,NG,T,,E,,,
79,57559,57559,5208006,1983.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1266.0,,JP,HK,,T,,I,,,
738,5855,5855,76480,1983.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),27.0,,DK,IT,CO,T,,E,,,
616,57174,57174,5207621,1983.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,148.0,,JP,HK,,T,,I,,,
201,93743,93743,5464694,1983.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,shoes,11.0,,FR,IT,SD,T,,E,,50ebde2f42,
839,17687,17687,255569,1983.0,II,Eriosyce villosa,,Caryophyllales,Cactaceae,Eriosyce,live,5.0,,GB,CL,,,,E,,baf59b8cd1,
196,52715,52715,5175067,1983.0,II,Laelia gloedeniana,,Orchidales,Orchidaceae,Laelia,live,2.0,,US,BR,,T,,I,,5505f4c4aa,
435,65232,65232,5215679,1983.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,139.0,,ZA,ZW,,T,,I,,5cead96e7f,
287,50260,50260,5148784,1983.0,II,Equus zebra hartmannae,Mammalia,Perissodactyla,Equidae,Equus,skins,1.0,,US,ZA,,P,,E,,a92802e8ce,
88,80111,80111,5371986,1983.0,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,shoes,40.0,,DE,IT,XX,T,,E,,a004960034,
301,84646,84646,5405755,1983.0,II,Python spp.,Reptilia,Serpentes,Pythonidae,Python,skins,1.0,,GB,XX,,,I,I,,,
