,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
242,156174,156174,156174,5934173,1989.0,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,shoes,4.0,,PA,US,AR,T,,E,,e7e2737566,
406,5597,5597,5597,43892,1989.0,II,Cacatua leadbeateri,Aves,Psittaciformes,Cacatuidae,Cacatua,live,1.0,,CA,NL,,T,C,E,,4b16ac2ffb,
955,39780,39780,39780,265694,1989.0,II,Euphorbia horwoodii,,Euphorbiales,Euphorbiaceae,Euphorbia,live,1.0,,CH,US,,T,A,E,,a89c9cad75,
538,191697,191697,191697,6251650,1989.0,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,2.0,,DE,TH,,T,A,I,,22679a6cd1,
83,37081,37081,37081,248339,1989.0,II,Epidendrum marmoratum,,Orchidales,Orchidaceae,Epidendrum,live,200.0,,DE,MX,,T,A,I,,2b8ff45faf,
414,204573,204573,204573,6446020,1989.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather items,10000.0,,MA,FR,ML,,,E,,95442d9dd9,
809,65970,65970,65970,456609,1989.0,II,Salvator rufescens,Reptilia,Sauria,Teiidae,Salvator,skins,1450.0,,US,AR,,T,,I,,,
810,29391,29391,29391,201844,1989.0,II,Cyclamen spp.,,Primulales,Primulaceae,Cyclamen,live,330.0,,US,CA,,T,A,E,,16f87e78a8,
647,44788,44788,44788,298802,1989.0,II,Laelia kettieana,,Orchidales,Orchidaceae,Laelia,live,10.0,,US,BR,,T,,I,,868239eb84,
569,117359,117359,117359,5725609,1989.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,leather items,1.0,,US,ZA,,T,,E,,86e50bdafc,
443,121805,121805,121805,5730162,1989.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,3.0,,GB,ZW,,,,E,,,
