,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
974,3175,3175,5032082,1978,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,live,5.0,,DD,CH,XX,,,E,,,
829,2440,2440,412669,1978,II,Phoenicopterus ruber,Aves,Ciconiiformes,Phoenicopteridae,Phoenicopterus,live,6.0,,CH,IT,PY,,,E,,,
134,7245,7245,13162040,1978,II,Eriosyce spp.,,Caryophyllales,Cactaceae,Eriosyce,live,2.0,,GB,DE,CL,,,I,,,
99,7338,7338,13223247,1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,tusks,110.0,kg,HK,NL,XX,T,,I,,,
727,130,130,27344,1978,II,Arrojadoa spp.,,Caryophyllales,Cactaceae,Arrojadoa,live,2.0,,GB,BE,,,,I,,,
549,3885,3885,5092911,1978,II,Ciconia nigra,Aves,Ciconiiformes,Ciconiidae,Ciconia,live,1.0,,SE,GB,,Z,,I,,,
180,6839,6839,5455334,1978,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,shoes,6112.0,,US,IT,XX,,,I,,,
442,1447,1447,281605,1978,II,Gomesa spp.,,Orchidales,Orchidaceae,Gomesa,live,51.0,,GB,BR,,,,I,,,
113,4600,4600,5181713,1978,II,Lontra canadensis,Mammalia,Carnivora,Mustelidae,Lontra,skin pieces,18.144,kg,US,CA,,,,E,,,
610,5348,5348,5268149,1978,II,Lynx rufus,Mammalia,Carnivora,Felidae,Lynx,skins,14.0,,FI,US,,T,,I,,,
548,4823,4823,5189681,1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,tusks,1013.0,kg,HK,BE,CD,T,,I,,,
562,6136,6136,5338132,1978,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,live,1.0,,HK,GB,,,,E,,,
643,4411,4411,5171288,1978,II,Ionopsis spp.,,Orchidales,Orchidaceae,Ionopsis,live,6.0,,GB,HN,,,,I,,,
630,2383,2383,404667,1978,II,Parodia spp.,,Caryophyllales,Cactaceae,Parodia,live,2.0,,BE,GB,,,,E,,,
676,4788,4788,5189646,1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,12.0,,US,FR,ML,,,E,,,
760,5968,5968,5322866,1978,II,Paphiopedilum spp.,,Orchidales,Orchidaceae,Paphiopedilum,live,1.0,,CH,GB,,,,E,,,
575,5965,5965,5322863,1978,II,Paphiopedilum spp.,,Orchidales,Orchidaceae,Paphiopedilum,live,13.0,,NZ,GB,,,,E,,,
686,236,236,52563,1978,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,1000.0,,DE,PE,,T,,E,,,
136,5044,5044,5189902,1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,leather items,1.0,,DK,ZA,,,,E,,,
334,3117,3117,5029756,1978,II,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,live,1.0,,XX,DD,,,,E,,,
703,1216,1216,246833,1978,II,Epicrates cenchria,Reptilia,Serpentes,Boidae,Epicrates,live,2.0,,GB,US,HN,,,I,,,
978,3747,3747,5085928,1978,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,live,2.0,,XX,DD,,,,E,,,
465,4718,4718,5189576,1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,skins,1.0,,AT,BW,,,,E,,,
248,1817,1817,318482,1978,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,garments,42.0,,CH,US,,,,I,,,
975,7124,7124,13056388,1978,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,live,1.0,,NZ,AU,,,,E,,2c84707370,
145,5270,5270,5190276,1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1.0,,US,LR,,,,I,,,
361,6963,6963,5458436,1978,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),101110.0,,US,CH,XX,,,E,,,
