,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
168,149342,149342,149342,6225532,1991.0,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,skins,26.0,,US,CA,,T,W,I,,79bb34514d,
576,165295,165295,165295,6283983,1991.0,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,10.0,,DE,IN,,T,A,I,cb0ddc8596,,
76,26097,26097,26097,625520,1991.0,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,JP,DE,ZA,T,C,E,,85e28362a2,
867,164013,164013,164013,6277796,1991.0,II,Pavo muticus,Aves,Galliformes,Phasianidae,Pavo,live,4.0,,BR,US,,,C,E,,,
110,217874,217874,217874,13393096,1991.0,II,Pleurothallis spp.,,Orchidales,Orchidaceae,Pleurothallis,live,1.0,,US,BR,,T,A,E,,aea9c962e3,
749,62515,62515,62515,843105,1991.0,II,Pachypodium geayi,,Gentianales,Apocynaceae,Pachypodium,live,10.0,,JP,ZA,,T,A,I,,ccd7c3e8ca,
247,135922,135922,135922,6169409,1991.0,II,Euphorbia horrida,,Euphorbiales,Euphorbiaceae,Euphorbia,live,50.0,,XX,US,,T,A,E,,a89c9cad75,
421,7266,7266,7266,459807,1991.0,II,Scaphosepalum spp.,,Orchidales,Orchidaceae,Scaphosepalum,live,5.0,,AU,EC,,,W,E,,9b3003f47a,
525,201443,201443,201443,6485897,1991.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2.0,,AN,US,ID,T,U,E,,f7dd8c049d,
321,119895,119895,119895,6102456,1991.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather items,65.0,,JP,HK,GY,T,,I,,6278135572,
638,127127,127127,127127,6131524,1991.0,II,Cattleya walkeriana,,Orchidales,Orchidaceae,Cattleya,live,5.0,,JP,BR,,T,A,I,,f45a4b975f,
987,184802,184802,184802,6374728,1991.0,II,Tridacna squamosa,Bivalvia,Veneroida,Tridacnidae,Tridacna,carvings,968.0,,US,PH,,T,U,I,,b4c03dae98,
818,68302,68302,68302,884702,1991.0,II,Plerogyra spp.,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,raw corals,60.0,,US,ID,,,,E,,c856b691d9,
862,120194,120194,120194,6102755,1991.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),2.0,,JP,HK,CO,T,W,I,,183411b653,
596,146014,146014,146014,6210667,1991.0,III,Lonchura cucullata,Aves,Passeriformes,Estrildidae,Lonchura,live,200.0,,DE,SN,,T,W,E,,c7c974068e,
231,51056,51056,51056,783926,1991.0,II,Kinixys homeana,Reptilia,Testudines,Testudinidae,Kinixys,specimens,30.0,,US,CM,,S,U,I,,4f1ea747a0,
302,7659,7659,7659,491456,1991.0,II,Vanda denisoniana,,Orchidales,Orchidaceae,Vanda,live,19.0,flasks,AU,TH,,,A,E,,,
892,24652,24652,24652,617958,1991.0,II,Cochleanthes candida,,Orchidales,Orchidaceae,Cochleanthes,live,5.0,,US,BR,,T,A,E,,b3375b670c,
685,15235,15235,15235,551792,1991.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),250.0,,CH,DE,NI,T,,E,,e522830ab2,
956,78645,78645,78645,957625,1991.0,III,Serinus leucopygius,Aves,Passeriformes,Fringillidae,Serinus,live,200.0,,DE,SN,,T,W,E,,52370c2481,
205,129369,129369,129369,6140829,1991.0,II,Corallus hortulanus,Reptilia,Serpentes,Boidae,Corallus,live,4.0,,US,GY,,,W,E,,6fa64ff077,
115,140233,140233,140233,6186617,1991.0,II,Gymnocalycium bruchii,,Caryophyllales,Cactaceae,Gymnocalycium,live,144.0,,DE,US,,T,A,E,,74b551c2b6,
791,197037,197037,197037,6458712,1991.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),600.0,,US,CH,ML,T,W,I,,16849cd316,
583,89076,89076,89076,5604633,1991.0,II,Chamaeleo gracilis,Reptilia,Sauria,Chamaeleonidae,Chamaeleo,live,10.0,,DE,GH,,T,,E,,da24f0946d,
391,117175,117175,117175,6094882,1991.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,shoes,8.0,,US,IT,VE,T,W,I,,942e1112f1,
176,14847,14847,14847,549722,1991.0,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),1.0,,JP,DE,PY,T,W,I,,3dcb46cee0,
217,65050,65050,65050,863122,1991.0,II,Papio hamadryas,Mammalia,Primates,Cercopithecidae,Papio,skulls,1.0,,DE,,,H,,I,c7cc6f266f,,
140,189780,189780,189780,6394949,1991.0,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,shoes,2.0,,JP,HK,AR,T,W,I,,e8051539e5,
533,175733,175733,175733,6333641,1991.0,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,shoes,3.0,,JP,IT,TH,T,W,I,,d374515790,
598,89023,89023,89023,5604479,1991.0,II,Chalcopsitta atra,Aves,Psittaciformes,Loriidae,Chalcopsitta,live,10.0,,ZA,SG,ID,T,,E,,30aa066be9,
429,36486,36486,36486,690401,1991.0,II,Dendrobium cumulatum,,Orchidales,Orchidaceae,Dendrobium,live,60.0,,US,TH,,T,W,I,,d764063779,
875,134529,134529,134529,6162725,1991.0,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,live,20.0,,FR,ID,,T,W,I,2b20269512,d4b6aaba55,
475,72221,72221,72221,911686,1991.0,II,Pyrrhura perlata,Aves,Psittaciformes,Psittacidae,Pyrrhura,live,1.0,,SE,ES,,P,C,I,,e0e1cb9466,
