,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
959,2468,2468,4502981,2012,II,Acipenser hybrid,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,extract,0.0124,kg,CH,DE,IT,T,C,E,,1ae895f6db,
208,1075362,1075362,16348913,2012,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,2.0,kg,CN,CA,,P,A,E,,465504180c,
388,232252,232252,12792698,2012,II,Galaxea fascicularis,Anthozoa,Scleractinia,Oculinidae,Galaxea,live,36.0,,DE,ID,,T,W,I,381360f072,,
620,824279,824279,14502659,2012,II,Acipenser baerii x naccarii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,caviar,200.409,kg,CH,DE,IT,T,C,I,,5d23add8de,
738,873744,873744,14603408,2012,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,FR,CH,US,T,W,E,,868d7c748c,c5a8a4187a
352,845112,845112,14561470,2012,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),6.0,,IT,CH,US,T,C,E,,1b11362043,aa0cc72ab2
171,109428,109428,4910480,2012,II,Psittacula eupatria,Aves,Psittaciformes,Psittacidae,Psittacula,live,3.0,,KR,ES,CZ,T,F,E,,,7b5d817040
846,524944,524944,13647907,2012,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,CN,TH,,T,D,E,,5153ae2291,
436,813512,813512,14471459,2012,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,H,W,I,,,
546,21094,21094,4584603,2012,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),92.0,,JP,FR,CO,T,C,E,,c1dd20d808,4fe33283b3
307,712548,712548,14105115,2012,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),8.0,,US,CA,US,T,W,I,0f83563cce,,
610,771158,771158,14341218,2012,II,Pectinia spp.,Anthozoa,Scleractinia,Pectiniidae,Pectinia,live,2.0,,US,FJ,,T,W,I,43e043ef0d,,
207,894003,894003,14651189,2012,II,Cattleya hybrid,,Orchidales,Orchidaceae,Cattleya,live,12.0,,CH,NL,,T,A,I,,44ace18115,
814,1008911,1008911,15207271,2012,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),2.0,,FR,CH,VE,T,W,E,,01e8d20330,06fc70f17a
28,639843,639843,13911381,2012,II,Porites nigrescens,Anthozoa,Scleractinia,Poritidae,Porites,live,10.0,,FR,ID,,T,F,E,,92ae724b39,
929,108029,108029,4905072,2012,II,Porites spp.,Anthozoa,Scleractinia,Poritidae,Porites,live,20.0,,PL,ID,,T,W,I,,ef5d0023b3,
