,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
569,651612,651612,14868448,2013,II,Pilosocereus pachycladus,,Caryophyllales,Cactaceae,Pilosocereus,live,216.0,,CH,NL,,T,A,I,,d409c56070,
965,940394,940394,15725728,2013,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,CN,TH,,T,D,E,,dfbf41eb1b,
374,637019,637019,14848273,2013,I,Paphiopedilum sukhakulii,,Orchidales,Orchidaceae,Paphiopedilum,live,8.0,,RU,TH,,,D,E,,9adbb2cc7a,
821,172892,172892,14143327,2013,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),15.0,,US,CH,US,T,W,I,,6a2b89c4a3,
69,375173,375173,14412767,2013,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),12.0,,CN,FR,LA,T,C,E,,9998a32c05,e466a3fa31
676,1091784,1091784,19341792,2013,II,Pectinia spp.,Anthozoa,Scleractinia,Pectiniidae,Pectinia,live,1.0,,US,ID,,T,W,E,,3be0ca41e7,
846,1070467,1070467,19254188,2013,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,live,5.0,,IL,ID,,T,F,E,,d0a5cad101,
759,570462,570462,14751314,2013,II,Lama guanicoe,Mammalia,Artiodactyla,Camelidae,Lama,garments,2.0,,US,IT,AR,T,W,I,,8fcf62c8b5,
857,491849,491849,14637710,2013,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),67.0,,JP,FR,CO,T,C,I,,69cd27ceba,
678,518854,518854,14678659,2013,II,Cumulopuntia subterranea,,Caryophyllales,Cactaceae,Cumulopuntia,live,10.0,,CH,NL,BE,T,A,I,,919d7b25ad,
953,463528,463528,14570508,2013,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,DE,CH,US,T,C,E,,ac13e5be73,e4591d513c
388,296786,296786,14310103,2013,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,carvings,1.0,,CN,FR,MO,T,O,E,,245be8fb86,
454,98707,98707,14055942,2013,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),3.0,,IT,CH,US,T,W,I,058b039a8c,b9105227d5,
662,632448,632448,14842829,2013,II,Paleosuchus trigonatus,Reptilia,Crocodylia,Alligatoridae,Paleosuchus,live,3.0,,US,GY,,T,W,I,,1b9ebdc3d3,
572,940594,940594,15725928,2013,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,CH,TH,,T,D,E,,d3507b3162,
95,66542,66542,14016818,2013,II,Acropora humilis,Anthozoa,Scleractinia,Acroporidae,Acropora,live,11.0,,US,ID,,T,F,I,,2081f10bb5,
386,297807,297807,14312668,2013,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,carvings,1.0,,US,GB,XX,T,O,E,,8335ac32dd,
27,355943,355943,14393537,2013,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),14.0,,MX,IT,VN,T,C,E,,5a25d5209a,
373,975743,975743,15851194,2013,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,0.45,kg,US,CA,,P,A,E,,4bc704ea00,
239,797324,797324,15112205,2013,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,MX,CH,US,T,W,E,,2d9d3fe14c,d8cd5078dc
