,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
808,59562,59562,59562,1198228,1997.0,II,Euphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,raw corals,15.0,,JP,ID,,T,W,I,,6807fd8413,
760,204336,204336,204336,7262943,1997.0,II,Masdevallia spp.,,Orchidales,Orchidaceae,Masdevallia,live,1.0,,JP,US,,T,A,I,,b9ce647fec,
524,157120,157120,157120,7023743,1997.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,garments,1.0,,US,IT,US,T,W,E,,5bd1e115af,
536,135516,135516,135516,5105777,1997.0,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,50.0,,FR,AU,,T,R,I,,0c50fe9b0a,
426,19775,19775,19775,1061361,1997.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),47.0,,JP,CH,CO,T,C,I,,5ed08ca9c6,
31,101154,101154,101154,1364867,1997.0,II,Polytelis alexandrae,Aves,Psittaciformes,Psittacidae,Polytelis,live,10.0,,JP,NL,,T,C,I,,c5f759259a,
785,175757,175757,175757,7097269,1997.0,II,Aquilaria malaccensis,,Myrtales,Thymelaeaceae,Aquilaria,chips,750.0,kg,SG,ID,,T,W,E,,a75ca9ea35,
800,42229,42229,42229,1141327,1997.0,II,Cyclamen spp.,,Primulales,Primulaceae,Cyclamen,live,24.0,,US,CA,,T,A,E,,183b4b9e65,
799,20631,20631,20631,1062217,1997.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),6.0,,JP,HK,CO,T,,I,,3123c34705,
40,53206,53206,53206,1172180,1997.0,II,Eryx miliaris,Reptilia,Serpentes,Boidae,Eryx,live,12.0,,CA,RU,UA,T,F,I,,47fdfaf55e,
138,313401,313401,313401,13386195,1997.0,II,Plerogyra spp.,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,20.0,,US,ID,,T,W,E,,b71325a0de,
143,289366,289366,289366,7467279,1997.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),32.0,,GB,CH,CM,T,W,I,1291208e7e,3e5c89691b,
152,310967,310967,310967,13327284,1997.0,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,40.0,,DE,PE,,T,A,I,eac1b8ba50,935278812c,
909,189531,189531,189531,7172680,1997.0,II,Epicrates angulifer,Reptilia,Serpentes,Boidae,Epicrates,live,10.0,,DE,CZ,,T,C,E,,2f5a98a2da,
261,119152,119152,119152,1440896,1997.0,II,Strombus gigas,Gastropoda,Mesogastropoda,Strombidae,Strombus,meat,18000.0,kg,MQ,JM,,T,W,I,,4c0d1c1300,
523,128727,128727,128727,1480728,1997.0,II,Tubastraea spp.,Anthozoa,Scleractinia,Dendrophylliidae,Tubastraea,raw corals,20.0,,JP,ID,,T,W,I,,f865383b95,
82,111548,111548,111548,1407489,1997.0,II,Scleractinia spp.,Anthozoa,Scleractinia,,,live,943.0,,US,ID,,T,W,I,,707dfc82ca,8ced19ce80
706,71199,71199,71199,1247301,1997.0,II,Heliofungia spp.,Anthozoa,Scleractinia,Fungiidae,Heliofungia,live,18.0,,US,ID,,T,W,E,,2795d1a58f,
771,103970,103970,103970,1378486,1997.0,II,Pseudeos fuscata,Aves,Psittaciformes,Loriidae,Pseudeos,live,2.0,,ZA,,,T,C,I,1cb0974015,b77dade3fa,
372,222545,222545,222545,7317132,1997.0,II,Platycercus eximius,Aves,Psittaciformes,Psittacidae,Platycercus,live,10.0,,BR,ES,NL,T,C,E,,3baa3207ae,
404,85022,85022,85022,1296972,1997.0,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,2.0,,NL,GT,,,I,I,,,
217,52461,52461,52461,1169660,1997.0,II,Eos squamata riciniata,Aves,Psittaciformes,Loriidae,Eos,live,5.0,,SG,ID,,T,W,E,,ae71159c4e,
628,227542,227542,227542,7332167,1997.0,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,shoes,34.0,,US,IT,ID,T,W,I,,,
714,168257,168257,168257,7055867,1997.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),3.0,,JP,CH,US,T,C,I,,b47554e973,
226,167628,167628,167628,7055238,1997.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,JP,CH,US,T,C,I,,ceb43bdf9d,
505,83794,83794,83794,1295608,1997.0,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,6.0,,US,CA,,T,A,I,,2504e0e61b,
233,166518,166518,166518,7054128,1997.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),13.0,,JP,CH,US,T,C,I,,71bfef3cec,
