,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
42,1141,1141,5280748,1976,II,Mammillaria spp.,,Caryophyllales,Cactaceae,Mammillaria,live,66.0,,GB,MX,,,,I,,,
636,1396,1396,5426714,1976,II,Trichoglottis spp.,,Orchidales,Orchidaceae,Trichoglottis,live,1.0,,GB,PH,,,,I,,,
611,1442,1442,5458286,1976,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),511.0,,IT,CH,XX,,,E,,,
251,1017,1017,5158310,1976,II,Eurychone spp.,,Orchidales,Orchidaceae,Eurychone,live,2.0,,CH,GB,,,A,E,,,
686,1204,1204,5312994,1976,II,Pachycereus spp.,,Caryophyllales,Cactaceae,Pachycereus,live,1.0,,SE,GB,,,A,E,,,
991,558,558,383501,1976,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,5.0,,ES,GB,NG,,,E,,,
871,201,201,182647,1976,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,139.0,,DE,FR,XX,T,,I,,,
210,427,427,305125,1976,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,live,1.0,,GB,ZC,,,C,I,,,
201,1255,1255,5322888,1976,II,Paphiopedilum spp.,,Orchidales,Orchidaceae,Paphiopedilum,live,185.0,,GB,TH,,,,I,,,
714,133,133,125887,1976,II,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,carapaces,1.0,,GB,SC,,,,I,,,
178,48,48,24094,1976,II,Arctocephalus australis,Mammalia,Carnivora,Otariidae,Arctocephalus,skins,12.0,,SE,CH,,T,,I,,,
308,552,552,383495,1976,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,58.0,,ES,GB,XX,,,E,,,
188,415,415,305113,1976,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,208.0,,ES,GB,BR,,,E,,,
578,1037,1037,5164332,1976,I,Gorilla gorilla,Mammalia,Primates,Hominidae,Gorilla,live,1.0,,DE,CM,,Z,,I,,,
328,432,432,306617,1976,II,Leopardus wiedii,Mammalia,Carnivora,Felidae,Leopardus,garments,1.0,,FR,CA,XX,,,E,,,
338,1584,1584,13494351,1976,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skins,1685.0,,ES,GB,XX,,,E,,,
989,345,345,285496,1976,II,Gypaetus barbatus,Aves,Falconiformes,Accipitridae,Gypaetus,live,1.0,,AT,CH,XX,,,E,,,
584,1423,1423,5453620,1976,II,Vanda spp.,,Orchidales,Orchidaceae,Vanda,live,134.0,,GB,IN,,,,I,,,
729,366,366,305064,1976,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,garments,3.0,,CH,CA,XX,,,E,,,
533,1099,1099,5178168,1976,II,Leopardus tigrinus,Mammalia,Carnivora,Felidae,Leopardus,skins,1967.0,,DE,GB,BR,,,E,,,
414,92,92,52508,1976,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,seeds,2.0,kg,DE,PE,,,,E,,,
755,358,358,294266,1976,I,Hyaena brunnea,Mammalia,Carnivora,Hyaenidae,Hyaena,live,2.0,,DE,ZA,,,,E,,,
588,1436,1436,5455255,1976,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,skin pieces,310.0,,AT,GB,XX,,,E,,,
26,32,32,8472,1976,II,Aloe spicata,,Liliales,Liliaceae,Aloe,live,1.0,,US,ZA,,,,E,,,
836,177,177,143426,1976,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,3.0,,PT,CH,XX,,,E,,,
227,210,210,191261,1976,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,live,2.0,,ES,GB,XX,Q,,E,,,
653,957,957,5097078,1976,II,Coryphantha spp.,,Caryophyllales,Cactaceae,Coryphantha,live,10.0,,GB,DE,JP,,,I,,,
819,342,342,281288,1976,III,Gazella dorcas,Mammalia,Artiodactyla,Bovidae,Gazella,live,40.0,,AE,TN,,,,E,,,
571,339,339,280576,1976,II,Gallicolumba luzonica,Aves,Columbiformes,Columbidae,Gallicolumba,live,2.0,,CH,DE,,Z,,I,,,
762,104,104,62733,1976,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,30.0,sides,CH,DE,,,,I,,,
286,1530,1530,13336459,1976,II,Pachycereus spp.,,Caryophyllales,Cactaceae,Pachycereus,live,1.0,,RO,GB,,,,E,,,
435,694,694,472056,1976,II,Thelocactus spp.,,Caryophyllales,Cactaceae,Thelocactus,live,30.0,,GB,IL,,,,I,,,
259,481,481,344426,1976,III,Nyctea scandiaca,Aves,Strigiformes,Strigidae,Nyctea,bodies,10.0,,US,CA,,S,,E,,,
45,1315,1315,5381438,1976,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,live,14.0,,DE,MY,,T,,I,,,
496,443,443,306628,1976,II,Leopardus wiedii,Mammalia,Carnivora,Felidae,Leopardus,live,1.0,,CH,DE,,P,C,I,,,
829,828,828,5029536,1976,II,Astrophytum spp.,,Caryophyllales,Cactaceae,Astrophytum,live,20.0,,GB,IL,,,,I,,,
337,1244,1244,5322877,1976,II,Paphiopedilum spp.,,Orchidales,Orchidaceae,Paphiopedilum,live,6.0,,IE,GB,,,A,E,,,
834,30,30,8384,1976,II,Aloe rupestris,,Liliales,Liliaceae,Aloe,live,2.0,,US,ZA,,,,E,,,
523,387,387,305085,1976,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,garments,1.0,,TR,GB,XX,,,E,,,
113,1454,1454,5481456,1976,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skins,8.0,,GB,IT,ID,T,,I,,,
914,422,422,305120,1976,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,95.0,,IT,GB,PY,,,E,,,
681,40,40,14720,1976,II,Angraecum spp.,,Orchidales,Orchidaceae,Angraecum,live,1.0,,AU,GB,,,A,E,,,
984,1468,1468,13056387,1976,II,Astrophytum spp.,,Caryophyllales,Cactaceae,Astrophytum,live,26.0,,GB,XX,XX,,,I,,,
968,1097,1097,5178166,1976,II,Leopardus tigrinus,Mammalia,Carnivora,Felidae,Leopardus,skins,300.0,,DE,GB,XX,,,E,,,
500,388,388,305086,1976,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,489.0,,AT,GB,XX,,,E,,,
495,1577,1577,13488429,1976,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,skins,4.0,,FR,GB,XX,,,E,,,
512,259,259,232998,1976,II,Diploprora spp.,,Orchidales,Orchidaceae,Diploprora,live,1.0,,GB,IN,,,,I,,,
680,213,213,191610,1976,I,Crossoptilon crossoptilon,Aves,Galliformes,Phasianidae,Crossoptilon,live,2.0,,CA,GB,,,,E,,,
823,93,93,52509,1976,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,1500.0,,DE,PE,,,,E,,,
877,530,530,383473,1976,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,1.0,,CA,SD,,E,,I,,,
142,557,557,383500,1976,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,2.0,,AT,GB,NG,,,E,,,
709,780,780,5007814,1976,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,skins,136.0,,CH,FR,,,,I,,,
146,1224,1224,5320350,1976,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,skins,10.0,,ES,GB,XX,,,E,,,
804,468,468,331965,1976,III,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,carvings,1.0,,AU,CA,,,,E,,,
273,3,3,1388,1976,II,Aerangis spp.,,Orchidales,Orchidaceae,Aerangis,live,1.0,,SE,GB,,,A,E,,,
94,993,993,5139598,1976,II,Elachistodon westermanni,Reptilia,Serpentes,Colubridae,Elachistodon,unspecified,1.0,,CH,DE,IN,,,E,,,
657,607,607,403955,1976,II,Paradisaea raggiana,Aves,Passeriformes,Paradisaeidae,Paradisaea,live,2.0,,US,PG,,,,E,,,
519,1422,1422,5452305,1976,II,Ursus maritimus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,GB,KE,US,,,I,,,
482,1480,1480,13074582,1976,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,5.0,,GB,US,AR,,,I,,,
5,914,914,5087442,1976,II,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,skins,17.0,,CH,FR,,,,I,,,
369,1105,1105,5178382,1976,II,Leopardus wiedii,Mammalia,Carnivora,Felidae,Leopardus,skins,20.0,,NL,GB,XX,,,E,,,
610,138,138,136672,1976,II,Coelogyne spp.,,Orchidales,Orchidaceae,Coelogyne,live,1.0,,DE,GB,,,A,E,,,
889,372,372,305070,1976,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,68.0,,ES,DE,CO,,,E,,,
213,909,909,5087437,1976,II,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,carapaces,2.0,,GB,PG,,,,E,,,
814,633,633,438200,1976,II,Python molurus,Reptilia,Serpentes,Pythonidae,Python,skins,17.0,,CH,FR,,,,I,,,
433,150,150,139359,1976,II,Copiapoa spp.,,Caryophyllales,Cactaceae,Copiapoa,live,1.0,,GB,US,,,,I,,,
238,193,193,157638,1976,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,141.0,,DE,FR,XX,T,,I,,,
840,154,154,141608,1976,II,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,101.0,,DE,FR,XX,T,,I,,,
835,1236,1236,5320362,1976,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,skins,100.0,,GB,BR,,T,,I,,,
522,850,850,5042083,1976,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,live,6.0,,CA,NL,,Z,,I,,,
608,205,205,182651,1976,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,66.0,,DE,FR,XX,T,,I,,,
756,554,554,383497,1976,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,skins,17.0,,DE,GB,XX,,,E,,,
304,758,758,3195227,1976,II,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,carapaces,10.0,kg,TR,GB,XX,,,E,,,
550,1022,1022,5158517,1976,I,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,live,1.0,,SE,FI,,B,,I,,,
750,908,908,5087436,1976,II,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,leather items,2.0,,FR,MG,,,,E,,,
843,1524,1524,13210455,1976,I,Leopardus wiedii nicaraguae,Mammalia,Carnivora,Felidae,Leopardus,skins,365.0,,GB,DE,BR,,,E,,,
911,1157,1157,5285230,1976,II,Melocactus spp.,,Caryophyllales,Cactaceae,Melocactus,live,6.0,,GB,KN,,,,I,,,
