,Unnamed: 0,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
117,5337429,1975,II,Polyplectron bicalcaratum,Aves,Galliformes,Phasianidae,Polyplectron,live,1.0,,CH,DE,,P,C,I,,,
118,5338427,1975,II,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,live,1.0,,CH,DE,,P,C,I,,,
119,5338634,1975,II,Prosopeia personata,Aves,Psittaciformes,Psittacidae,Prosopeia,live,4.0,,CH,BE,,P,,I,,,
120,5370384,1975,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,live,116.0,,CH,TH,,T,,I,,,
121,5370385,1975,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,skins,1.0,,XX,CH,,,,E,,,
122,5379869,1975,II,Python regius,Reptilia,Serpentes,Pythonidae,Python,live,114.0,,CH,GH,,T,,I,,,
123,5381431,1975,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,live,90.0,,CH,TH,,T,,I,,,
124,5381432,1975,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,skins,6.0,,XX,CH,,,,E,,,
125,5405353,1975,II,Python sebae,Reptilia,Serpentes,Pythonidae,Python,live,11.0,,CH,XX,,T,,I,,,
126,5405454,1975,II,Python spp.,Reptilia,Serpentes,Pythonidae,Python,garments,1.0,,CH,DE,,,,I,,,
127,5409028,1975,I,Rupicapra pyrenaica ornata,Mammalia,Artiodactyla,Bovidae,Rupicapra,trophies,1.0,,CA,NZ,,,,I,,,
128,5423203,1975,II,Tanygnathus lucionensis,Aves,Psittaciformes,Psittacidae,Tanygnathus,live,9.0,,CH,PH,,T,,I,,,
129,5423483,1975,II,Tapirus terrestris,Mammalia,Perissodactyla,Tapiridae,Tapirus,live,3.0,,US,CA,,,,E,,,
130,5424013,1975,II,Testudo hermanni,Reptilia,Testudines,Testudinidae,Testudo,live,600.0,,CH,YU,,T,,I,,,
131,5424014,1975,II,Testudo hermanni,Reptilia,Testudines,Testudinidae,Testudo,live,210.0,,CH,DE,,T,,I,,,
132,5452282,1975,III,Ursus maritimus,Mammalia,Carnivora,Ursidae,Ursus,live,1.0,,JP,CA,,,C,E,,,
133,5452283,1975,III,Ursus maritimus,Mammalia,Carnivora,Ursidae,Ursus,live,1.0,,US,CA,,,,E,,,
134,5454955,1975,I,Varanus bengalensis,Reptilia,Sauria,Varanidae,Varanus,live,12.0,,CH,TH,,P,,I,,,
135,5454956,1975,I,Varanus bengalensis,Reptilia,Sauria,Varanidae,Varanus,skins,145.0,,XX,CH,,,,E,,,
136,5455250,1975,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,live,10.0,,CH,GH,,T,,I,,,
137,5458278,1975,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,live,1.0,,CH,GH,,T,,I,,,
138,5458279,1975,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,skins,12604.0,,CH,FR,,,,I,,,
139,5458280,1975,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2234.0,,XX,CH,,,,E,,,
140,5481387,1975,II,Varanus rudicollis,Reptilia,Sauria,Varanidae,Varanus,live,3.0,,CH,TH,,T,,I,,,
141,5481445,1975,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,live,2.0,,CH,TH,,P,,I,,,
142,5481446,1975,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,live,9.0,,XX,CH,,,C,E,,,
143,5481447,1975,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skins,12.0,,XX,CH,,,,E,,,
144,13190495,1975,I,Gorilla gorilla,Mammalia,Primates,Hominidae,Gorilla,live,1.0,,US,CA,,,,E,,,
145,13403528,1975,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,live,2.0,,DE,CA,,,C,E,,,
146,13403529,1975,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,live,1.0,,CH,BE,,Z,,I,,,
147,13403530,1975,I,Pongo pygmaeus,Mammalia,Primates,Hominidae,Pongo,live,1.0,,CH,DE,,Z,C,I,,,
