,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
668,34238,34238,4534618,2011,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,6.0,,US,CA,,T,A,I,,1b8c0fbda3,
788,354315,354315,12169411,2011,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,FR,CH,US,T,W,I,ac4dd30faf,7f43d74697,0585ce7379
175,615406,615406,12554474,2011,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,NO,CH,US,T,W,E,,a6fc3389df,aa5e650725
193,853644,853644,12963667,2011,II,Tauraco livingstonii,Aves,Cuculiformes,Musophagidae,Tauraco,live,11.0,,ZA,TZ,,Z,W,I,b94ef19ad6,a56fb69ed5,
20,42712,42712,4545728,2011,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),12.0,,SG,CH,BO,T,W,E,,b7605290fc,e90b6a8734
189,628230,628230,12567298,2011,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),12.0,,KR,CH,US,T,C,E,,8cf08f7ba8,8a319d5292
72,95068,95068,4632950,2011,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,2000.0,,JP,ZA,,T,C,I,,1de7cd2e01,
316,359637,359637,12174733,2011,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,FR,CH,US,T,W,I,ce4262158e,80f5d7af7a,a3df484f05
3,171879,171879,4777028,2011,II,Heliofungia actiniformis,Anthozoa,Scleractinia,Fungiidae,Heliofungia,live,15.0,,US,ID,,T,W,E,,d454acfc52,
407,517357,517357,12425084,2011,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),5.0,,FR,CH,VN,T,C,I,7df8cc07d9,0619219ec6,e75c72208a
331,297980,297980,5002306,2011,II,Acropora hyacinthus,Anthozoa,Scleractinia,Acroporidae,Acropora,live,10.0,,US,AU,,T,W,I,,0d107c709e,
982,916683,916683,13903212,2011,II,Pleurothallis spp.,,Orchidales,Orchidaceae,Pleurothallis,live,10.0,,DE,VE,,T,A,E,,2f0d443d4a,
604,520926,520926,12428653,2011,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,CN,FR,VN,T,C,E,,f5a93f41d5,15642d27fc
929,481744,481744,12361981,2011,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),2.0,,AE,IT,VN,T,C,E,,258cccdb29,
797,751617,751617,12782468,2011,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,specimens,2.0,,GB,AE,US,S,D,I,879912ef69,5f2e546098,0258bf0c62
