,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
850,67968,67968,67968,5527684,1987.0,I,Ara macao,Aves,Psittaciformes,Psittacidae,Ara,live,1.0,,US,BR,,,I,I,,,
336,61988,61988,61988,5503092,1987.0,II,Agapornis fischeri,Aves,Psittaciformes,Psittacidae,Agapornis,live,300.0,,BE,TZ,,T,,E,,252c76f458,
183,48317,48317,48317,395642,1987.0,II,Paphiopedilum concolor,,Orchidales,Orchidaceae,Paphiopedilum,live,6.0,,DE,TH,,T,,I,,005563e15c,
255,123150,123150,123150,5695188,1987.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,3.0,kg,FR,HK,CF,,,I,,18b6ce34b2,
855,136112,136112,136112,5772686,1987.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,skins,1.0,,US,ZA,,H,,E,,497c0bc4c8,
518,42483,42483,42483,338251,1987.0,III,Naja naja,Reptilia,Serpentes,Elapidae,Naja,shoes,12.0,,US,IT,TH,,,E,,012c826de2,
487,23189,23189,23189,186067,1987.0,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,JP,FR,PG,T,,I,,3cf63d218d,
681,137893,137893,137893,5781145,1987.0,II,Paphiopedilum venustum,,Orchidales,Orchidaceae,Paphiopedilum,live,100.0,,US,IN,,T,A,I,,b9fd354bc4,
887,107372,107372,107372,5667206,1987.0,II,Lontra canadensis,Mammalia,Carnivora,Mustelidae,Lontra,garments,1.0,,US,CA,,T,,E,,ed7fe8c53e,
843,166095,166095,166095,5865894,1987.0,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,shoes,16.0,,CA,IT,TH,,,E,,d12da92226,
361,210436,210436,210436,13301925,1987.0,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,10.0,,US,BR,,T,,I,,1c45830269,
