,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
910,182489,182489,182489,6256645,1990.0,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,6.0,,JP,BR,,T,A,E,,ac50a9cfb4,
446,194243,194243,194243,6314281,1990.0,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,shoes,1027.0,,US,HK,CN,T,U,I,,20f33ea6fd,
75,242671,242671,242671,13393616,1990.0,II,Pleurothallis spp.,,Orchidales,Orchidaceae,Pleurothallis,live,1.0,,DE,BR,,T,,E,,9ef3afa7e0,
827,38109,38109,38109,282853,1990.0,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,live,10.0,,US,ID,,,I,I,,,
1,196302,196302,196302,6316371,1990.0,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,shoes,215.0,,US,IT,TH,,W,E,,4210535770,99a13f9931
428,155360,155360,155360,6084229,1990.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),20.0,,US,IT,GY,T,W,I,,2ef165a17d,
626,77658,77658,77658,624333,1990.0,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),3.0,,JP,DE,MG,T,W,I,,d0dbd96390,
667,225225,225225,225225,6481507,1990.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),4262.0,,US,DE,ID,T,U,I,,0c0b92d786,
676,29370,29370,29370,232306,1990.0,I,Dermochelys coriacea,Reptilia,Testudines,Dermochelyidae,Dermochelys,eggs,138.0,,US,XX,,,I,I,,,
320,145199,145199,145199,6054525,1990.0,II,Anneliesia cuneata,,Orchidales,Orchidaceae,Anneliesia,live,1.0,,CH,BR,,T,A,E,,af8e719f8e,
862,46530,46530,46530,333052,1990.0,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,tusks,1.0,,DK,GL,,P,W,E,,be01c66714,
357,232840,232840,232840,13196809,1990.0,II,Hatiora spp.,,Caryophyllales,Cactaceae,Hatiora,live,8.0,,IE,US,,T,A,E,,5821edd584,
707,83509,83509,83509,786024,1990.0,II,Laelia crispilabia,,Orchidales,Orchidaceae,Laelia,live,2.0,,PH,BR,,T,,E,,f9a348e316,
886,34940,34940,34940,273672,1990.0,II,Euphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,raw corals,10.0,,US,ID,,,,E,,6da273cc81,
85,70514,70514,70514,499123,1990.0,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,cloth,7.0,,JP,GB,,T,O,I,,b892bbd0e6,
713,136140,136140,136140,6012888,1990.0,II,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,live,2.0,,DE,SE,,Z,,I,c7ecd1fbe2,,
