,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
708,139018,139018,139018,6585801,1994.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),8.0,,IT,CH,GY,T,U,I,,e24ee32798,
41,74810,74810,74810,903692,1994.0,II,Porites spp.,Anthozoa,Scleractinia,Poritidae,Porites,raw corals,50.0,,US,ID,,,,E,,e05a60e415,
304,15728,15728,15728,578810,1994.0,II,Calumma brevicorne,Reptilia,Sauria,Chamaeleonidae,Calumma,live,20.0,,JP,MG,,T,W,I,,5b66805f3c,
50,257101,257101,257101,13395404,1994.0,II,Pleurothallis spp.,,Orchidales,Orchidaceae,Pleurothallis,live,1.0,,CH,BR,,T,A,E,,26ca614520,
421,182827,182827,182827,6746844,1994.0,II,Pericopsis elata,,Fabales,Leguminosae,Pericopsis,timber,36.796,m3,JP,CM,,T,W,I,,2f285eb7d7,
19,90404,90404,90404,981164,1994.0,II,Tubastraea spp.,Anthozoa,Scleractinia,Dendrophylliidae,Tubastraea,raw corals,25.0,,US,ID,,,,E,,fe31d6b20f,
64,48929,48929,48929,763555,1994.0,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,raw corals,40.0,,US,ID,,,,E,,8bb627bf8d,
282,19743,19743,19743,601408,1994.0,II,Cattleya spp.,,Orchidales,Orchidaceae,Cattleya,live,1.0,,DE,BR,,T,A,E,,f137afb389,
547,64899,64899,64899,848589,1994.0,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,227.0,kg,HK,US,,T,W,E,,a7b0dc4f6f,
322,151777,151777,151777,6634145,1994.0,II,Dionaea muscipula,,Nepenthales,Droseraceae,Dionaea,live,1.0,,US,CA,,T,A,E,,05a7e406fe,
407,226923,226923,226923,6881006,1994.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skulls,1.0,,US,CA,,H,W,E,,a3d37a1436,
983,78610,78610,78610,919235,1994.0,II,Restrepia aspasicensium,,Orchidales,Orchidaceae,Restrepia,live,1.0,,US,CO,,T,U,I,,b2d8f66fed,
89,227338,227338,227338,6881421,1994.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skulls,1.0,,US,CA,,H,W,E,,21ea68355e,
806,158830,158830,158830,6659631,1994.0,II,Galanthus nivalis,,Liliales,Amaryllidaceae,Galanthus,live,650.0,,SE,NL,,T,A,E,,e45a2e915c,
882,71578,71578,71578,889386,1994.0,II,Plerogyra spp.,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,raw corals,25.0,,JP,ID,,,,E,,0ca936eaf7,
899,254610,254610,254610,13336509,1994.0,II,Pachycereus spp.,,Caryophyllales,Cactaceae,Pachycereus,live,144.0,,JP,TW,,T,A,I,,a0771b2c11,
755,252999,252999,252999,13290137,1994.0,II,Octomeria spp.,,Orchidales,Orchidaceae,Octomeria,live,1.0,,DE,BR,,T,A,E,,a29c98470d,
226,94303,94303,94303,998798,1994.0,II,Varanus spp.,Reptilia,Sauria,Varanidae,Varanus,leather items,9.0,,AU,PG,,,,E,,1a66c27f3b,
373,158428,158428,158428,6659229,1994.0,II,Galanthus nivalis,,Liliales,Amaryllidaceae,Galanthus,live,300.0,,AT,NL,,T,A,E,,65d0116086,
864,18471,18471,18471,589906,1994.0,II,Catalaphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Catalaphyllia,live,13.0,,US,ID,,T,W,I,,1835eb0361,
161,140188,140188,140188,6586971,1994.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,shoes,8.0,,US,IT,VE,T,W,E,,1da7b9eb7a,
97,239455,239455,239455,6971844,1994.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),276.0,,US,DE,ML,T,,E,,210b57e6be,
576,237464,237464,237464,6968985,1994.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),355.0,,US,ES,SD,T,W,E,,81077e6145,
515,197203,197203,197203,6802914,1994.0,II,Trachyphyllia spp.,Anthozoa,Scleractinia,Trachyphylliidae,Trachyphyllia,raw corals,30.0,,JP,ID,,T,W,I,,8730d49ad6,
80,180146,180146,180146,6736001,1994.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,US,ZM,,,,E,,554a311940,
172,119758,119758,119758,6516025,1994.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (large),11.0,,JP,IT,US,T,C,I,,614d750f43,
224,101224,101224,101224,6185973,1994.0,III,Gracula religiosa,Aves,Passeriformes,Sturnidae,Gracula,live,100.0,,MY,VN,,T,W,I,,72d9548f46,
843,217353,217353,217353,6871436,1994.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,US,CA,,H,W,E,,aa3cab2f76,
405,174039,174039,174039,6718529,1994.0,III,Oena capensis,Aves,Columbiformes,Columbidae,Oena,live,50.0,,PT,SN,,T,W,I,,d8766d0544,
377,67267,67267,67267,861913,1994.0,I,Paphiopedilum haynaldianum,,Orchidales,Orchidaceae,Paphiopedilum,live,3.0,,JP,US,,T,A,E,,2f3f597659,
683,8127,8127,8127,543174,1994.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,100.0,,US,CA,,T,A,I,,1dd96232f1,
968,76381,76381,76381,905821,1994.0,II,Porites spp.,Anthozoa,Scleractinia,Poritidae,Porites,live,25.0,,US,ID,,T,W,I,,0309af6765,7af7feb5b9
734,15476,15476,15476,576911,1994.0,II,Caiman spp.,Reptilia,Crocodylia,Alligatoridae,Caiman,bodies,1.0,,US,PA,XX,,U,I,,,
868,1101,1101,1101,505162,1994.0,II,Aldabrachelys gigantea,Reptilia,Testudines,Testudinidae,Aldabrachelys,live,5.0,,ZA,SC,,B,C,E,,ae5cde2f53,
389,160568,160568,160568,6665213,1994.0,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,bone carvings,1.0,,US,ZW,,T,U,I,,,
966,92357,92357,92357,991558,1994.0,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,live,6.0,,GR,CZ,,Q,C,I,,f5cd078cdb,
936,78855,78855,78855,921066,1994.0,II,Rhynchostylis retusa,,Orchidales,Orchidaceae,Rhynchostylis,live,3.0,,DK,TH,,,W,E,,8ce2ca84f7,
941,159610,159610,159610,6661803,1994.0,III,Gracula religiosa,Aves,Passeriformes,Sturnidae,Gracula,live,30.0,,AR,BE,MY,T,,E,,e51a77a515,
27,15306,15306,15306,571952,1994.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),60.0,,US,CO,,T,W,I,,a2a57bd0da,
487,11134,11134,11134,560030,1994.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),11.0,,JP,CH,CO,T,,I,,a43b451b57,
284,106594,106594,106594,6305274,1994.0,II,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,live,2.0,,US,TZ,GW,P,W,E,,3146fcb2e0,
275,198518,198518,198518,6810999,1994.0,II,Trichoglottis spp.,,Orchidales,Orchidaceae,Trichoglottis,live,24.0,,DE,TH,,T,A,I,d0f96bb904,,
287,180339,180339,180339,6738455,1994.0,I,Paphiopedilum glaucophyllum,,Orchidales,Orchidaceae,Paphiopedilum,live,10.0,,TH,US,,T,A,E,,2f3f597659,
594,122838,122838,122838,6519934,1994.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),15.0,,DE,CH,US,T,,I,ee1091dd4b,,
918,253611,253611,253611,13314547,1994.0,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,1.0,,US,BR,,T,A,E,,bd4c540751,
967,245326,245326,245326,6992536,1994.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,live,10.0,,DE,US,MY,T,W,E,,852c609203,
163,13267,13267,13267,563003,1994.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),20.0,,DE,CH,CO,T,,I,c1fe7cb1ef,,
369,118864,118864,118864,6515131,1994.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),29.0,,JP,CH,US,T,,I,,a214c749d8,
374,157162,157162,157162,6653524,1994.0,II,Fungia spp.,Anthozoa,Scleractinia,Fungiidae,Fungia,live,10.0,,US,ID,,T,W,I,,833af2210a,
450,2801,2801,2801,516054,1994.0,II,Ara ararauna,Aves,Psittaciformes,Psittacidae,Ara,live,5.0,,DE,US,,T,C,I,d1469da966,,
579,114252,114252,114252,6500919,1994.0,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,live,6.0,,US,ID,,T,W,I,,afc9c493d0,734f8aa0a9
470,76712,76712,76712,908252,1994.0,II,Psephotus haematonotus,Aves,Psittaciformes,Psittacidae,Psephotus,live,40.0,,PK,NL,,T,C,E,,e5714e1f39,
245,123449,123449,123449,6522007,1994.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,skin pieces,27.0,,IT,US,,T,C,I,,09d4692df6,
171,136245,136245,136245,6581649,1994.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,shoes,1.0,,US,ES,VE,T,W,E,,483b190316,3309260340
969,104850,104850,104850,6269372,1994.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,FR,TZ,,H,W,E,,7a7326398f,
528,224889,224889,224889,6878972,1994.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skulls,1.0,,US,CA,,H,W,E,,aad507e5ab,
249,98589,98589,98589,6118866,1994.0,II,Calabaria reinhardtii,Reptilia,Serpentes,Boidae,Calabaria,live,6.0,,IT,GH,,T,W,E,,0a05e7ef27,
644,9005,9005,9005,544052,1994.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,10.0,,US,MX,,P,I,I,,c1670c9c8b,
746,139221,139221,139221,6586004,1994.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),2.0,,JP,IT,VE,T,W,E,,4351bf18a8,
965,158346,158346,158346,6659147,1994.0,II,Galanthus nivalis,,Liliales,Amaryllidaceae,Galanthus,live,3200.0,,US,NL,,T,A,E,,08fee7fb74,
203,120573,120573,120573,6516840,1994.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JP,CH,US,T,,I,,f326e4092f,
863,48742,48742,48742,763368,1994.0,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,raw corals,30.0,,DE,ID,,,,E,,65c9dcbc53,
778,65166,65166,65166,855061,1994.0,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,ES,TZ,,H,W,E,,8944afab65,
685,40769,40769,40769,714175,1994.0,II,Encyclia livida,,Orchidales,Orchidaceae,Encyclia,live,1.0,,US,BZ,,T,U,I,,b386ba8a43,
889,114034,114034,114034,6500701,1994.0,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,live,3.0,,US,ID,,T,U,I,,795f9f2c9d,
390,237852,237852,237852,6969373,1994.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),1.0,,JP,IT,SD,T,W,I,,ada2734307,
95,104631,104631,104631,6251026,1994.0,II,Oophaga pumilio,Amphibia,Anura,Dendrobatidae,Oophaga,live,30.0,,GB,NI,,T,W,I,3b91506644,,
873,213077,213077,213077,6867160,1994.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,meat,10.0,kg,US,CA,,H,W,E,,390977ad10,
425,217820,217820,217820,6871903,1994.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,US,CA,,T,W,E,,2914213e3b,
821,137210,137210,137210,6582614,1994.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),72.0,,JP,CH,VE,T,,I,,15e0bece11,
951,245976,245976,245976,6998296,1994.0,II,Vulpes zerda,Mammalia,Carnivora,Canidae,Vulpes,live,6.0,,CH,BE,SD,B,W,I,,,
937,195246,195246,195246,6797077,1994.0,II,Schoenorchis pachyacris,,Orchidales,Orchidaceae,Schoenorchis,live,5.0,,DK,TH,,,W,E,,7f31763bc4,
