,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
410,772494,772494,16231598,2014,II,Fungia spp.,Anthozoa,Scleractinia,Fungiidae,Fungia,live,30.0,,US,ID,,T,W,E,,108829943e,
282,496785,496785,15784542,2014,II,Lycalopex griseus,Mammalia,Carnivora,Canidae,Lycalopex,garments,1.0,,CN,IT,AR,T,W,I,0b5406e3a7,9de269de55,7fad119f9c
583,512156,512156,15810919,2014,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,specimens,40.0,ml,FR,CA,CN,M,C,E,,d729989cb9,
262,272639,272639,15517485,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,RU,IT,US,P,W,E,,2a296d65b7,
943,1017120,1017120,17238749,2014,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,FR,CH,ZW,T,C,E,,e7427990d4,ae5cf81472
349,376702,376702,15635824,2014,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,1249.0,,TH,CO,,T,C,I,,272299b21f,
654,389974,389974,15655254,2014,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),2.0,,CN,IT,BO,T,W,I,12d9bd91c4,2a58ae4454,ba99f54c80
561,737165,737165,16154746,2014,II,Dendrobium hybrid,,Orchidales,Orchidaceae,Dendrobium,live,90.0,,SV,GT,,T,A,I,db425d70c7,,
668,441713,441713,15711384,2014,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),2.0,,TH,FR,AU,T,C,I,,a3977080b4,
663,667610,667610,15995321,2014,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),1.0,,JP,IT,ID,T,W,I,,e95418fdcc,
796,306593,306593,15551439,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,AE,FR,US,T,W,E,,aa86eb3897,0ea4682baf
368,108643,108643,15274682,2014,III,Daboia russelii,Reptilia,Serpentes,Viperidae,Daboia,derivatives,40.0,,PK,DE,US,T,F,E,,19b98344c5,
507,336224,336224,15591702,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,JP,FR,US,T,W,I,,f1b8af5d77,
838,483812,483812,15768292,2014,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,live,20.0,,GB,ID,,T,F,I,10b6a8be08,402c40b626,
127,1010369,1010369,17211859,2014,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),12.0,,AE,CH,VE,T,W,E,,bce6778098,3755138548
914,1017067,1017067,17238696,2014,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,FR,CH,ZW,T,C,E,,7f945abe5f,393f9302e7
852,776061,776061,16237114,2014,II,Galaxea spp.,Anthozoa,Scleractinia,Oculinidae,Galaxea,live,15.0,,US,ID,,T,F,E,,6a421e5f40,
566,169203,169203,15349736,2014,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,live,34.0,,US,AU,,T,W,I,,32eea8de55,
147,197973,197973,15387294,2014,II,Prosthechea spp.,,Orchidales,Orchidaceae,Prosthechea,live,5.0,,DE,EC,,T,A,E,,c8c4156a7d,
434,823317,823317,16396319,2014,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,raw corals,5.0,,AE,ID,,T,W,I,f38f8b8fdb,40b28747ff,
959,700404,700404,16082091,2014,II,Aquilaria filaria,,Myrtales,Thymelaeaceae,Aquilaria,chips,500.0,kg,AE,ID,,T,W,E,,f578c7664d,
124,355978,355978,15612757,2014,II,Anguilla anguilla,Actinopteri,Anguilliformes,Anguillidae,Anguilla,meat,19500.0,kg,JP,CN,ES,T,W,E,,9fd728abef,fbcedeb782
306,15344,15344,15014850,2014,II,Acropora kosurini,Anthozoa,Scleractinia,Acroporidae,Acropora,live,1.0,,US,ID,,T,F,I,,18f9e7cfcb,
213,866545,866545,16468514,2014,II,Trioceros jacksonii,Reptilia,Sauria,Chamaeleonidae,Trioceros,live,10.0,,KR,TZ,,T,W,I,,ba45b67cec,
858,671077,671077,15998981,2014,II,Acanthastrea spp.,Anthozoa,Scleractinia,Mussidae,Acanthastrea,live,2.0,,US,ID,,T,W,E,,184215b0c2,
479,983174,983174,17065577,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,IT,CH,US,T,C,E,,c6b682c997,bb8d784b97
813,374160,374160,15633276,2014,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),8.0,,RU,IT,CO,T,C,E,,7702056e0c,
41,756240,756240,16203947,2014,II,Euphyllia yaeyamaensis,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,15.0,,US,ID,,T,F,E,,10e7bb7f73,
237,1064906,1064906,17427155,2014,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),91.0,,CH,IT,LA,T,C,I,,03b112af29,6f16d2faf4
445,865966,865966,16467003,2014,II,Trachyphyllia geoffroyi,Anthozoa,Scleractinia,Trachyphylliidae,Trachyphyllia,live,4.0,,GT,US,ID,T,W,I,3b267f39ef,a633c693a6,
965,15479,15479,15014986,2014,II,Acropora latistella,Anthozoa,Scleractinia,Acroporidae,Acropora,live,7.0,,US,FJ,,T,W,I,,ad3ad391d1,
29,422341,422341,15690269,2014,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,TH,IT,ZW,T,C,I,,b594c6401a,
367,248590,248590,15487938,2014,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),25.0,,US,FR,ML,T,W,I,,0ab77b31c5,
546,47386,47386,15168590,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,US,IT,US,T,C,I,,1b3b688341,
93,839704,839704,16419221,2014,II,Python brongersmai,Reptilia,Serpentes,Pythonidae,Python,leather products (small),4.0,,KR,IT,ID,T,W,I,,3b2339bcf6,
918,698499,698499,16079585,2014,II,Amyda cartilaginea,Reptilia,Testudines,Trionychidae,Amyda,live,100.0,,CN,ID,,T,W,I,783512629e,66320c78ab,
499,474841,474841,15758880,2014,II,Euphorbia venenifica,,Euphorbiales,Euphorbiaceae,Euphorbia,live,6.0,,IR,TH,,,A,E,,4f9f812183,
548,651148,651148,15978529,2014,II,Vanda denisoniana,,Orchidales,Orchidaceae,Vanda,live,10.0,,UA,TH,,,A,E,,22af1d4cf0,
736,1056208,1056208,17409287,2014,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,CH,IT,VN,T,C,I,,d1ff9a371c,deacb80af5
357,950385,950385,17032788,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),17.0,,UY,CH,US,T,W,E,,a91ee82a89,79c2263eeb
211,67536,67536,15189138,2014,II,Alveopora gigas,Anthozoa,Scleractinia,Poritidae,Alveopora,live,3.0,,US,AU,,T,W,I,,122ce4e5f4,
90,84420,84420,15225826,2014,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,skin pieces,28.0,kg,US,BO,,T,W,I,,c2f0d19992,
149,962095,962095,17044498,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,HK,CH,US,T,W,E,,9fbe5db789,e977d4093a
534,557383,557383,15875439,2014,I,Peristeria elata,,Orchidales,Orchidaceae,Peristeria,live,5.0,,US,TH,,,D,E,,fdee3093d7,
396,576698,576698,15896925,2014,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),3.0,,SA,IT,VN,T,C,E,,f95bb7d8f9,
70,217964,217964,15447917,2014,II,Salvator merianae,Reptilia,Sauria,Teiidae,Salvator,leather products (small),2.0,,US,CH,AR,T,W,I,,49d003ed93,
531,746444,746444,16191338,2014,II,Euphyllia ancora,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,10.0,,BR,ID,,T,W,E,,9dc64d4f00,
585,428648,428648,15698286,2014,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,1.0,,JP,ZW,,T,R,I,,ec98d81980,
316,903037,903037,16638239,2014,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,OM,CH,US,T,W,E,,d7ff8b2ff2,3faa51b966
960,1030317,1030317,17277684,2014,II,Euphorbia milii,,Euphorbiales,Euphorbiaceae,Euphorbia,live,36.0,,CH,NL,,T,A,I,,96c7f6ead8,
