,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
67,25387,25387,485946,1982,I,Uncia uncia,Mammalia,Carnivora,Felidae,Uncia,live,1.0,,CH,FI,,Z,C,I,,,
886,70787,70787,13464358,1982,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,shoes,178.0,,SA,IT,PY,,,E,,,
749,72323,72323,13994709,1982,II,Verticordia spp.,,Myrtales,Myrtaceae,Verticordia,flowers,2.0,sets,IT,AU,,T,,E,,cca22ee99e,
991,31818,31818,5028557,1982,II,Ascocentrum ampullaceum,,Orchidales,Orchidaceae,Ascocentrum,live,1.0,,US,IN,,T,A,I,,7fe82d383a,
425,37953,37953,5120421,1982,II,Cumarinia odorata,,Caryophyllales,Cactaceae,Cumarinia,live,1.0,,DE,US,,T,A,E,,aacccce75a,
494,41104,41104,5160887,1982,II,Felidae spp.,Mammalia,Carnivora,Felidae,,skins,1.0,,JP,CA,,T,,I,,,
784,68502,68502,13229884,1982,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,garments,3.0,,US,CA,,T,,I,,e7de455e32,
731,45095,45095,5196484,1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,12.0,,US,HK,KE,T,,I,,,
89,26139,26139,494475,1982,II,Varanus spp.,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2354.0,,US,AT,NG,T,,I,,,
8,31539,31539,5026330,1982,II,Aratinga aurea,Aves,Psittaciformes,Psittacidae,Aratinga,live,300.0,,DE,AR,,T,,E,,71b334d4bc,
199,50430,50430,5201873,1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,10.0,,CH,GB,XX,T,,E,,,
354,60928,60928,5370972,1982,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,skins,511.0,,IT,US,VN,,,I,,,
201,27167,27167,495503,1982,II,Varanus spp.,Reptilia,Sauria,Varanidae,Varanus,leather products (small),39501.0,,US,IT,NG,T,,I,,,
626,56001,56001,5296750,1982,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,1.0,,CA,US,,T,A,E,,e2c8097efe,
468,67271,67271,13129988,1982,II,Dichaea spp.,,Orchidales,Orchidaceae,Dichaea,live,1.0,,CA,US,,T,A,E,,017cc2aafb,
399,26795,26795,495131,1982,II,Varanus spp.,Reptilia,Sauria,Varanidae,Varanus,shoes,3.0,,US,IT,NG,T,,I,,,
785,50928,50928,5202371,1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1.0,,GB,ZW,,P,,I,,,
922,44092,44092,5195481,1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory scraps,1296.0,kg,HK,JP,ZA,T,,I,,2b79635d95,
303,19480,19480,376158,1982,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,454.507,kg,HK,US,,T,,E,,5aa229e4d2,
705,69986,69986,13297087,1982,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,100.0,,DE,GT,,T,A,E,,8d993e66d3,
968,40777,40777,5154547,1982,II,Euphorbia nesemannii,,Euphorbiales,Euphorbiaceae,Euphorbia,live,2.0,,US,ZA,,T,A,I,,ae5d86896c,
445,60548,60548,5341582,1982,II,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,live,2.0,,ZA,GB,XX,P,,E,,,
941,51438,51438,5202881,1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1.0,,GB,IN,TZ,P,,I,,,
499,40959,40959,5158837,1982,I,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,eggs,75.0,,DK,SE,,N,,I,,,
412,17075,17075,353110,1982,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,flowers,2174.0,,JP,SG,,T,,I,,,
462,72105,72105,13994491,1982,II,Verticordia spp.,,Myrtales,Myrtaceae,Verticordia,flowers,4.0,,CH,AU,,T,,E,,9c0f627752,
37,25573,25573,486872,1982,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,DE,US,,P,,E,,76cf1ad525,
146,66803,66803,13053018,1982,II,Anoectochilus brevilabris,,Orchidales,Orchidaceae,Anoectochilus,live,3.0,,US,IN,,T,A,I,,3928889405,
308,41627,41627,5167220,1982,II,Hippotragus equinus,Mammalia,Artiodactyla,Bovidae,Hippotragus,trophies,1.0,,US,SD,,P,,I,,06cadaee4a,
798,38184,38184,5122355,1982,II,Cycas spp.,,Cycadales,Cycadaceae,Cycas,live,1.0,,US,ZA,,T,A,E,,8f081017b6,
661,37667,37667,5099648,1982,II,Crocodylidae spp.,Reptilia,Crocodylia,Crocodylidae,,leather products (small),39.0,,JP,IT,,T,,I,,b50f9800f2,
5,32751,32751,5033597,1982,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,shoes,91.0,,US,ES,PY,T,,I,,,
908,54362,54362,5279435,1982,II,Mammillaria humboldtii,,Caryophyllales,Cactaceae,Mammillaria,live,2.0,,DE,US,,T,A,E,,7db830a289,
921,67607,67607,13159690,1982,II,Eria spp.,,Orchidales,Orchidaceae,Eria,live,1.0,,US,BR,,T,A,I,,35214790c0,
301,47658,47658,5199047,1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,6.0,oz,US,HK,CD,T,,I,,,
88,41538,41538,5165402,1982,II,Gymnocalycium uruguayense,,Caryophyllales,Cactaceae,Gymnocalycium,live,1.0,,US,DK,,T,A,I,,76de729ad9,
694,20539,20539,400842,1982,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,skins,3.0,,CH,,,,,I,,,
