,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
485,18906,18906,16053374,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,SG,DE,US,T,W,E,,9e74247295,
807,688455,688455,17104204,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,KZ,CH,US,T,W,E,,de92144445,588feca1b3
250,647327,647327,16985996,2015,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),1.0,,MC,IT,ID,T,W,E,,08938bcac8,
599,1149570,1149570,17868023,2015,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,540.0,,JP,TW,,T,A,I,,83eea9cc89,
951,139402,139402,16326802,2015,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,live,8.0,,CY,ID,,T,F,I,822e928d6a,ecf35f53d7,
372,902950,902950,17361634,2015,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,6.0,,CH,NL,,T,A,I,f7f919cd20,,
921,713240,713240,17128989,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),20.0,,PT,CH,US,T,W,E,,76611d7cf5,4ca08f7499
809,140397,140397,16330170,2015,II,Myrtillocactus geometrizans,,Caryophyllales,Cactaceae,Myrtillocactus,live,4.0,,CH,NL,,,A,E,,915cf3c883,
952,1126159,1126159,17791137,2015,II,Goniopora spp.,Anthozoa,Scleractinia,Poritidae,Goniopora,live,15.0,,CN,ID,,T,W,I,25c0bd9501,38f08a9437,
850,284019,284019,16578172,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),14.0,,CH,FR,US,T,W,E,,bc4f68ebcf,b46ea29570
322,1258099,1258099,19487134,2015,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),1.0,,AU,SG,MY,T,W,I,bfd1f6b799,daeb6ccdc8,
75,709167,709167,17124916,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,US,CH,US,T,W,E,,f85b25daf2,fe1c40ff56
1,218734,218734,16511945,2015,II,Acropora echinata,Anthozoa,Scleractinia,Acroporidae,Acropora,live,6.0,,US,ID,,T,F,I,,2ca220c4b1,
440,925140,925140,17388344,2015,I,Phragmipedium caudatum,,Orchidales,Orchidaceae,Phragmipedium,live,6.0,,CA,EC,,T,D,I,c710863358,,
188,930331,930331,17395180,2015,II,Plerogyra turbida,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,10.0,,US,ID,,T,W,E,,57404b57b3,
968,751197,751197,17166946,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),27.0,,JP,CH,US,T,W,E,,f039353ba7,f3e632544b
694,1044063,1044063,17548384,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),3.0,,KR,CH,US,T,W,I,,700c215406,
818,1115913,1115913,17758586,2015,II,Euphorbia antisyphilitica,,Euphorbiales,Euphorbiaceae,Euphorbia,wax,19.8,kg,KR,JP,MX,T,W,E,,c511c7611e,
863,348021,348021,16672042,2015,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),8.0,,US,IT,CO,T,W,I,,c55a00254e,
177,765674,765674,17181423,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),30.0,,CH,FR,US,T,W,I,c091d0a07a,0cc31ed878,
799,637472,637472,16975591,2015,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2.0,,FR,CH,CM,T,W,I,c968d0b437,0068f55dca,c499deb9ab
45,1107938,1107938,17729833,2015,II,Dendrobium hymenopterum,,Orchidales,Orchidaceae,Dendrobium,live,10.0,,US,TH,,T,A,E,,bc4c64b1d3,
567,482544,482544,16812176,2015,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,live,147.0,,CA,US,,T,A,E,,4d89975894,
737,273198,273198,16567351,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),11.0,,CN,FR,US,T,W,E,,2dc74ed02b,bd1a6c5c47
297,721930,721930,17137679,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),3.0,,HK,CH,US,T,W,E,,403e9cd95f,9c91e33d01
31,322780,322780,16642734,2015,II,Alveopora spongiosa,Anthozoa,Scleractinia,Poritidae,Alveopora,live,1.0,,US,ID,,T,W,I,,9b06122b9c,
259,691070,691070,17106819,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,AR,CH,US,T,W,E,,0a5d7af655,26468cc32f
444,1111198,1111198,17746916,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ivory carvings,1.0,,JP,US,,Q,O,I,,e50caed18b,
789,809221,809221,17247232,2015,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,IN,CH,ZW,T,C,E,,a7162de80b,cdc582da9d
933,664197,664197,17006283,2015,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,live,35.0,,CN,ID,,T,F,E,,6e0d275124,
829,980949,980949,17468529,2015,II,Stylophora spp.,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,live,10.0,,CZ,ID,,T,F,E,,ad292a3d7d,
722,973876,973876,17460781,2015,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,150.0,kg,DK,ID,,T,W,E,,032729e5a0,
471,1113038,1113038,17749906,2015,II,Epicrates cenchria,Reptilia,Serpentes,Boidae,Epicrates,live,12.0,,JP,DE,,T,C,I,,113d3c67da,
528,325503,325503,16645538,2015,II,Aquilaria crassna,,Myrtales,Thymelaeaceae,Aquilaria,oil,0.0005,kg,IN,FR,LA,T,A,E,,354c5fc1d7,f20670f2ad
365,582412,582412,16915185,2015,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),0.5,,JP,FR,VN,T,C,E,,af35ad0142,4bb49cea5e
230,1194983,1194983,17968486,2015,II,Strombus gigas,Gastropoda,Mesogastropoda,Strombidae,Strombus,shells,322.0,kg,LY,KR,TC,T,W,E,,2333b82354,
248,1052336,1052336,17608167,2015,I,Aloe rauhii,,Liliales,Liliaceae,Aloe,live,1.0,,DE,TH,,T,D,E,,865cf55156,
944,26263,26263,16060731,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,AT,CH,US,T,W,I,,8dbc841248,
911,1005830,1005830,17497489,2015,I,Vultur gryphus,Aves,Falconiformes,Cathartidae,Vultur,specimens,16.0,ml,EC,PE,,M,W,E,,d2d13fb12a,
606,941305,941305,17413017,2015,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),7.0,,US,CH,VN,T,C,E,,923484cb55,4426f1bcd8
914,571632,571632,16903066,2015,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),114.0,,US,IT,ID,T,W,E,,0c82632a71,
298,628798,628798,16966467,2015,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,H,W,I,,,
14,72338,72338,16157292,2015,II,Dendrobium hybrid,,Orchidales,Orchidaceae,Dendrobium,live,20.0,,CH,NL,,,A,E,,d0d032a9b4,
377,1148326,1148326,17866779,2015,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,173.0,,JP,TW,,T,A,I,,b7ddd3fef4,
179,499070,499070,16828965,2015,II,Phalaenopsis hybrid,,Orchidales,Orchidaceae,Phalaenopsis,live,497.0,,NO,NL,,,A,E,,9f04e4cff3,
680,431582,431582,16759980,2015,II,Euphyllia paraancora,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,2.0,,US,FJ,,T,W,I,,d987d760e0,
622,1117430,1117430,17763008,2015,II,Euphorbia milii,,Euphorbiales,Euphorbiaceae,Euphorbia,live,1.0,,US,TH,,T,A,E,,45df912356,
559,829931,829931,17271709,2015,II,Eguchipsammia fistula,Anthozoa,Scleractinia,Dendrophylliidae,Eguchipsammia,live,6.0,,US,ID,,T,W,E,,99382b3196,
236,173933,173933,16386507,2015,II,Phalaenopsis schilleriana,,Orchidales,Orchidaceae,Phalaenopsis,live,1.0,,DE,US,,T,A,I,,d5cee5b2bb,
498,479541,479541,16809100,2015,III,Odobenus rosmarus,Mammalia,Carnivora,Odobenidae,Odobenus,carvings,1.0,,DK,GL,,P,W,E,,96c0d3363f,
17,1233950,1233950,19033601,2015,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,AU,CH,US,T,W,I,4e8fc2d3bb,683ff914dc,
433,896218,896218,17350418,2015,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,live,40.0,,DE,ID,,T,F,E,,84328d77b9,
771,1062926,1062926,17631421,2015,II,Bulbophyllum planibulbe,,Orchidales,Orchidaceae,Bulbophyllum,live,10.0,,DE,MY,,T,A,E,,bf4e133882,
