,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
937,103210,103210,103210,1347035,1995.0,II,Plerogyra spp.,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,raw corals,50.0,,JP,ID,,T,W,E,,66e9e01f7d,
146,275952,275952,275952,6975707,1995.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather items,1.0,,JP,IT,TD,P,W,E,,ad6714bb16,
462,75687,75687,75687,921285,1995.0,II,Rhynchostylis retusa,,Orchidales,Orchidaceae,Rhynchostylis,live,102.0,,TW,TH,,,W,E,,c1f5de1b23,
480,195483,195483,195483,6736751,1995.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,DE,ZW,,,W,E,,d74fcca898,
418,59238,59238,59238,836516,1995.0,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,20.0,,US,CA,,T,A,I,,8d07cdea84,
610,145180,145180,145180,6588875,1995.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,shoes,16.0,,US,IT,VE,T,W,E,,ddbe976fc3,
48,200318,200318,200318,6750357,1995.0,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,12.0,,US,CA,,T,A,E,,73958a4506,
892,162305,162305,162305,6637967,1995.0,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ivory carvings,1.0,,US,GB,XX,T,O,I,,788de15795,
896,44260,44260,44260,729149,1995.0,II,Euphorbia spp.,,Euphorbiales,Euphorbiaceae,Euphorbia,live,12000.0,,DE,MG,,T,A,I,33f5625c4c,,
348,110227,110227,110227,3388799,1995.0,II,Psittacus erithacus timneh,Aves,Psittaciformes,Psittacidae,Psittacus,live,1.0,,NL,SR,SL,P,W,E,,fadf72fc31,
281,54534,54534,54534,802038,1995.0,II,Lobophyllia spp.,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,20.0,,US,ID,,T,W,I,,ace8c5d8e7,
248,3438,3438,3438,518582,1995.0,II,Aratinga acuticaudata,Aves,Psittaciformes,Psittacidae,Aratinga,live,6.0,,PH,CH,,,C,E,,,
509,189919,189919,189919,6720238,1995.0,II,Oophaga pumilio,Amphibia,Anura,Dendrobatidae,Oophaga,live,47.0,,BE,NI,,T,W,E,,4851f01193,
811,151589,151589,151589,6606130,1995.0,II,Catalaphyllia jardinei,Anthozoa,Scleractinia,Caryophylliidae,Catalaphyllia,raw corals,60.0,,GB,ID,,S,W,I,64da5edda3,fe7b1beec0,
91,153594,153594,153594,6612998,1995.0,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,specimens,10.0,,US,MX,,,W,I,,,
999,224755,224755,224755,6819790,1995.0,II,Tubipora spp.,Anthozoa,Stolonifera,Tubiporidae,Tubipora,raw corals,25.0,,FR,ID,,T,W,E,,90bdacf716,
68,85761,85761,85761,972294,1995.0,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,live,6.0,,BR,ES,SG,T,C,E,,101851f1e5,064e17203f
139,273243,273243,273243,6967668,1995.0,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,live,100.0,,US,TG,,T,W,I,,696d43d3cd,
738,80543,80543,80543,951777,1995.0,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,485.0,,JP,ID,,T,W,I,,773ebecbe9,
806,264943,264943,264943,6923457,1995.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,,W,I,,24aee8c6e0,
830,29077,29077,29077,649551,1995.0,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,JP,HK,ID,T,C,I,,6c1769af78,
9,83666,83666,83666,961135,1995.0,II,Sobennikoffia robusta,,Orchidales,Orchidaceae,Sobennikoffia,live,15.0,,NL,MG,,T,W,E,,0375cd017c,
572,263043,263043,263043,6921557,1995.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,,W,I,,3f24342925,
964,63525,63525,63525,858004,1995.0,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,derivatives,1.0,,US,CA,XX,,I,I,,,
781,167715,167715,167715,6654474,1995.0,II,Fungia spp.,Anthozoa,Scleractinia,Fungiidae,Fungia,raw corals,30.0,,IT,ID,,T,W,E,,8a1efd4480,
791,80873,80873,80873,952107,1995.0,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,375.0,,NL,ID,,T,W,I,5d3e094d48,682c848a73,
713,187897,187897,187897,6714801,1995.0,II,Nageliella purpurea,,Orchidales,Orchidaceae,Nageliella,live,1.0,,JP,MX,,T,A,I,,0414bad4f0,
893,31451,31451,31451,673236,1995.0,II,Cyclamen spp.,,Primulales,Primulaceae,Cyclamen,live,96.0,,US,CA,,T,A,I,,eb48e1b3f1,
914,242672,242672,242672,6893233,1995.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,meat,10.0,kg,US,CA,,H,W,E,,d9b3cffa7e,
381,211904,211904,211904,6782299,1995.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,meat,805.0,kg,HK,MY,,T,W,E,,e59dc78f2e,
151,8836,8836,8836,546333,1995.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,35.0,,US,CA,,T,A,E,,02983591d3,
897,247852,247852,247852,6898413,1995.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,US,CA,,H,W,E,,4825975319,
602,193349,193349,193349,6731371,1995.0,II,Ornithoptera goliath,Insecta,Lepidoptera,Papilionidae,Ornithoptera,bodies,6.0,,US,PG,,T,C,I,,7d31e9fef9,
874,215058,215058,215058,6792933,1995.0,II,Rebutia minuscula,,Caryophyllales,Cactaceae,Rebutia,live,1.0,,JP,DE,,T,A,I,,2aba2cced5,
877,241419,241419,241419,6891980,1995.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,meat,50.0,kg,US,CA,,H,W,E,,8ea6b8382d,
975,98422,98422,98422,1242714,1995.0,II,Heliofungia spp.,Anthozoa,Scleractinia,Fungiidae,Heliofungia,raw corals,15.0,,JP,ID,,T,W,E,,53178c232d,
51,31477,31477,31477,673262,1995.0,II,Cyclamen spp.,,Primulales,Primulaceae,Cyclamen,live,120.0,,US,CA,,T,A,I,,0c17849f99,
79,157743,157743,157743,6625121,1995.0,III,Damaliscus lunatus,Mammalia,Artiodactyla,Bovidae,Damaliscus,trophies,1.0,,AT,BW,,P,W,I,bb908acb71,f97a2318fe,
