,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
515,75395,75395,5237667,1985.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1965.0,,JP,HK,XX,T,,I,,bfdd08d3c6,
17,68913,68913,5176595,1985.0,II,Laelia xanthina,,Orchidales,Orchidaceae,Laelia,live,1.0,,US,DE,,T,A,I,,eea1d3b54e,
658,99229,99229,5318585,1985.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,live,2.0,,US,ZA,,T,C,I,,de40f58b73,
222,51497,51497,5065594,1985.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),18.0,,US,IT,CO,T,,I,,cff047783b,
701,9042,9042,81401,1985.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,shoes,3.0,,US,IT,PA,,,E,,8e578ccb79,
695,61616,61616,5122604,1985.0,II,Cyclamen persicum,,Primulales,Primulaceae,Cyclamen,live,1500.0,,NL,IL,,,A,I,,c9bffb407a,
837,146131,146131,5491042,1985.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skin pieces,20.0,,US,IT,ID,T,,I,,da75704f84,
221,16977,16977,166974,1985.0,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,179.0,,FR,JP,PG,,,I,,,
141,3862,3862,44625,1985.0,II,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,live,5.0,,JP,ID,,,,E,,682d86e17b,
672,77697,77697,5242315,1985.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,2.0,kg,NL,MW,,P,,E,,ee87082a51,
550,42048,42048,5011241,1985.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),10.0,,US,IT,US,,,E,,ff225f4ba7,
387,99742,99742,5319104,1985.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,trophies,2.0,,XX,CF,,H,,E,,d4df66e26e,
43,136815,136815,5457710,1985.0,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,shoes,18.0,,CH,IT,NG,,,E,,f81e62ba49,
644,156352,156352,13346207,1985.0,II,Parodia spp.,,Caryophyllales,Cactaceae,Parodia,live,2227.0,,US,BR,,T,A,I,,1d4aef120b,
632,17240,17240,167237,1985.0,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,SA,DE,PG,T,,E,,92635e8880,
937,84094,84094,5248712,1985.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,tusks,2.0,,HK,ZA,,T,,E,,86d7c09b7d,
210,54996,54996,5069280,1985.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather items,183.0,,US,IT,CO,,,E,,6235502679,
120,156687,156687,13366951,1985.0,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,2.0,,US,TH,,T,A,I,,8e83ceab65,
961,155910,155910,13300048,1985.0,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,25.0,,NL,GT,,T,,E,,bc42a1c782,
750,114571,114571,5357396,1985.0,III,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,shoes,36.0,,US,IT,ID,,,E,,5fc636d092,
271,4467,4467,47971,1985.0,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,live,30.0,,DE,ID,,T,,I,,59b6733f50,
501,37394,37394,460443,1985.0,II,Schomburgkia superbiens,,Orchidales,Orchidaceae,Schomburgkia,live,2.0,,US,GT,,T,,E,,5038cffefc,
591,17726,17726,184531,1985.0,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),1.0,,US,FR,PG,,,E,,42705dd1b5,
407,99188,99188,5318489,1985.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,skins,1.0,,US,TZ,,H,,E,,03e03962a2,
251,23665,23665,268677,1985.0,II,Euphorbia spp.,,Euphorbiales,Euphorbiaceae,Euphorbia,live,3210.0,,SA,NL,,,A,E,,,
811,64529,64529,5146354,1985.0,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,live,4.0,,DE,GB,,B,C,E,,4f321d4cb3,
211,1174,1174,15007,1985.0,II,Angraecum spp.,,Orchidales,Orchidaceae,Angraecum,live,1.0,,NL,US,,,A,I,,aab37cf43d,
