,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
336,403524,403524,403524,8059714,2000.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (large),2.0,,JP,IT,US,T,W,I,,e679c7be84,
702,150083,150083,150083,2162526,2000.0,II,Eriosyce kunzei,,Caryophyllales,Cactaceae,Eriosyce,live,1.0,,US,CA,,T,A,E,,c088633a3c,
853,97744,97744,97744,1850425,2000.0,II,Pionus menstruus,Aves,Psittaciformes,Psittacidae,Pionus,live,20.0,,NL,SR,,T,W,I,a9124fc09c,2926a5c094,
236,363047,363047,363047,7870582,2000.0,II,Symphyllia agaricia,Anthozoa,Scleractinia,Mussidae,Symphyllia,live,5.0,,US,ID,,T,W,I,,27c22cf2a2,
837,27339,27339,27339,1547109,2000.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),5.0,,GB,CH,CO,T,C,I,4d79c86bad,c6da591034,
440,144335,144335,144335,2035783,2000.0,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),5.0,,JP,CH,CO,,C,I,,b9ad568b8e,
114,178492,178492,178492,2384853,2000.0,II,Polaskia chichipe,,Caryophyllales,Cactaceae,Polaskia,live,2.0,,US,CA,,T,A,E,,17291503f8,
510,261643,261643,261643,7670990,2000.0,II,Eunectes murinus,Reptilia,Serpentes,Boidae,Eunectes,live,5.0,,US,SR,,T,W,I,,4c024deaf7,
183,12111,12111,12111,1398013,2000.0,II,Salvator rufescens,Reptilia,Sauria,Teiidae,Salvator,shoes,10.0,pairs,SA,IT,AR,T,W,E,,9cc2d0c2c2,
139,224951,224951,224951,7549116,2000.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,YU,CH,US,,F,E,,,
431,399235,399235,399235,7996746,2000.0,III,Vidua chalybeata,Aves,Passeriformes,Ploceidae,Vidua,live,150.0,,BE,GN,,T,W,I,,74a315efc1,
205,21971,21971,21971,1529422,2000.0,II,Bothrochilus boa,Reptilia,Serpentes,Pythonidae,Bothrochilus,live,10.0,,IL,US,,,,I,83d7b1247e,,
179,336991,336991,336991,7831126,2000.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (large),6.0,,AE,IT,ID,T,W,E,,9f6ceaaf86,
484,66060,66060,66060,1701612,2000.0,II,Euphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,372.0,,US,ID,,T,W,I,,3249768f5e,
713,330001,330001,330001,7817326,2000.0,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,leather products (small),15.0,,ES,CH,ID,T,W,I,,880c4e9813,
