,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
90,3522,3522,5320411,1977,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,garments,1.0,,AT,CH,XX,,,E,,,
511,1625,1625,447094,1977,II,Rebutia spp.,,Caryophyllales,Cactaceae,Rebutia,live,5.0,,GB,AR,,,,I,,,
960,1179,1179,333995,1977,II,Morelia viridis,Reptilia,Serpentes,Pythonidae,Morelia,live,1.0,,US,PG,,,,I,,,
351,191,191,62886,1977,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,live,293.0,,CH,CO,,T,,I,,,
533,4085,4085,5458314,1977,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),23600.0,,CH,FR,ML,,,E,,,
260,3565,3565,5328122,1977,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,9.0,,SE,GB,,,,E,,,
800,1391,1391,383686,1977,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,2.0,,DE,,,P,,I,,,
302,836,836,278045,1977,II,Ferocactus spp.,,Caryophyllales,Cactaceae,Ferocactus,live,100.0,,ES,GB,,,,E,,,
398,3131,3131,5268142,1977,II,Lynx rufus,Mammalia,Carnivora,Felidae,Lynx,skins,3100.0,,DK,US,,T,,I,,,
252,4388,4388,13345520,1977,II,Parodia spp.,,Caryophyllales,Cactaceae,Parodia,live,20.0,,GB,BE,BR,,,I,,,
197,3290,3290,5280779,1977,II,Mammillaria spp.,,Caryophyllales,Cactaceae,Mammillaria,live,406.0,,GB,DE,,,,I,,,
143,1427,1427,392426,1977,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,live,3.0,,DE,CA,,,C,I,,,
194,183,183,62878,1977,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather items,263.0,,CH,FR,AR,,,E,,,
258,4093,4093,5458322,1977,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather items,50.0,,DE,FR,NG,,,E,,,
126,4310,4310,13229050,1977,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,garments,4.0,,BE,CA,,,,E,,,
368,1910,1910,498255,1977,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,live,1.0,,CA,DE,,Z,,I,,,
24,82,82,27672,1977,II,Ascocentrum spp.,,Orchidales,Orchidaceae,Ascocentrum,live,1.0,,NZ,GB,,,,E,,,
974,536,536,221810,1977,II,Dendrobium spp.,,Orchidales,Orchidaceae,Dendrobium,live,56.0,,NZ,GB,,,,E,,,
205,895,895,286455,1977,II,Harrisia spp.,,Caryophyllales,Cactaceae,Harrisia,live,100.0,,ES,GB,,,,E,,,
760,1486,1486,407390,1977,III,Pelusios gabonensis,Reptilia,Testudines,Pelomedusidae,Pelusios,live,11.0,,US,GH,,,,E,,,
163,1819,1819,486496,1977,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,skins,1.0,,DE,IR,,,,E,,,
961,2110,2110,5043383,1977,II,Bubo bubo,Aves,Strigiformes,Strigidae,Bubo,live,3.0,,XX,DD,,,,E,,,
399,897,897,286457,1977,II,Harrisia spp.,,Caryophyllales,Cactaceae,Harrisia,live,2.0,,GB,DE,,,,I,,,
363,2153,2153,5049802,1977,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),40.0,,US,FR,XX,,,I,,,
638,2625,2625,5151227,1977,II,Eulophiella roempleriana,,Orchidales,Orchidaceae,Eulophiella,live,1.0,,US,FR,,T,A,E,,,
975,3572,3572,5328129,1977,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,1.0,,GB,US,,,,I,,,
288,1160,1160,331819,1977,II,Miopithecus talapoin,Mammalia,Primates,Cercopithecidae,Miopithecus,live,4.0,,DE,CM,,,,I,,,
630,3038,3038,5190091,1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,leather items,80.0,,US,ZA,,,,I,,,
514,2741,2741,5168157,1977,II,Huntleya spp.,,Orchidales,Orchidaceae,Huntleya,live,1.0,,SE,GB,,,,E,,,
885,4297,4297,13229037,1977,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,garments,4.0,,DE,US,CA,,,E,,,
458,59,59,24436,1977,II,Arctocephalus pusillus,Mammalia,Carnivora,Otariidae,Arctocephalus,garments,1.0,,CA,US,,,,E,,,
722,2723,2723,5165099,1977,II,Gymnocalycium spp.,,Caryophyllales,Cactaceae,Gymnocalycium,live,2000.0,,GB,MT,,,,I,,,
425,686,686,239183,1977,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,live,4.0,,SE,GB,,Q,,I,,,
268,1497,1497,407920,1977,II,Phaius spp.,,Orchidales,Orchidaceae,Phaius,live,60.0,,GB,IN,,,,I,,,
569,4110,4110,5458339,1977,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,shoes,102.0,,US,IT,IN,,,I,,,
310,379,379,143523,1977,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,bodies,1.0,,CH,ZA,,,,E,,,
740,1608,1608,446060,1977,II,Python timoriensis,Reptilia,Serpentes,Pythonidae,Python,live,22.0,,DE,ID,,,,I,,,
103,3603,3603,5334782,1977,II,Pleione spp.,,Orchidales,Orchidaceae,Pleione,live,400.0,,GB,NL,,,,I,,,
743,2192,2192,5077118,1977,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,live,3.0,,US,CA,,Z,,E,,,
378,967,967,305253,1977,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,24.0,,ES,GB,XX,,,E,,,
280,2629,2629,5151464,1977,II,Eunectes murinus,Reptilia,Serpentes,Boidae,Eunectes,live,2.0,,DD,DE,MY,,,E,,,
725,414,414,157882,1977,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,1000.0,,DE,FR,PG,,,E,,,
688,513,513,195758,1977,II,Cyclamen spp.,,Primulales,Primulaceae,Cyclamen,live,12.0,,GB,IR,XX,,,I,,,
