,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
732,98833,98833,98833,1345200,1996.0,II,Plerogyra spp.,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,3.0,,CA,US,ID,T,W,E,,7c4a073297,
797,295902,295902,295902,7488136,1996.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),146.0,,JP,CH,TH,T,W,I,,cf8328d12d,
204,278510,278510,278510,7033807,1996.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JP,FR,US,T,C,I,,065f0bb9f6,
148,290541,290541,290541,7347539,1996.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,skins,300.0,,JP,ID,,T,W,I,,369bfbc5e5,
586,154751,154751,154751,6597018,1996.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),26.0,,JP,IT,CO,T,C,E,,45cb61a4a4,
387,272791,272791,272791,6994625,1996.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,shoes,172.0,,US,IT,MY,T,W,E,,91581e6fea,
618,91886,91886,91886,1293307,1996.0,II,Oncidium phalaenopsis,,Orchidales,Orchidaceae,Oncidium,live,1.0,,JP,DE,CO,T,A,I,,78e4cebd90,
712,134665,134665,134665,6543410,1996.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JP,ES,US,T,W,E,,4328957a1a,165cf52b77
628,53977,53977,53977,1083201,1996.0,II,Catalaphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Catalaphyllia,raw corals,15.0,,US,ID,,T,W,E,,01e76506ba,
58,279951,279951,279951,7035248,1996.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,JP,SG,US,T,C,I,,dae6eae8e5,
291,268308,268308,268308,6983710,1996.0,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2.0,,US,IT,ML,T,W,E,,1c8bba3594,
960,274264,274264,274264,6996606,1996.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skins,2000.0,,JP,SG,MY,T,W,E,,4bbfe5cd9c,
101,167397,167397,167397,6634738,1996.0,II,Dionaea muscipula,,Nepenthales,Droseraceae,Dionaea,live,3.0,,US,CA,,T,A,E,,647d78d86a,
908,302993,302993,302993,13281475,1996.0,II,Myrmecophila tibicinis,,Orchidales,Orchidaceae,Myrmecophila,live,1.0,,DE,AU,,T,A,I,51e6f911e7,3c2f413cb5,
565,140735,140735,140735,6549485,1996.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),175.0,,CA,US,,T,W,E,,c45d75f3c2,
582,75800,75800,75800,1212130,1996.0,II,Furcifer lateralis,Reptilia,Sauria,Chamaeleonidae,Furcifer,live,300.0,,US,MG,,T,W,I,,35d3c30735,
999,131600,131600,131600,6505777,1996.0,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,live,1.0,,MA,DE,,N,C,E,,00d23575ca,
355,261454,261454,261454,6959238,1996.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,,W,I,,2a11d3871c,
143,303755,303755,303755,13316295,1996.0,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,4.0,,AT,TH,,,A,E,,ed9ceb91f5,
465,4496,4496,4496,548554,1996.0,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,live,216.0,,US,CA,,T,A,I,,fc90277f16,
399,134031,134031,134031,6542776,1996.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,DE,CH,US,T,C,I,7dc3489bb6,3f58ade303,d335556aea
883,214894,214894,214894,6789867,1996.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,shoes,12.0,,US,FR,MY,T,W,I,,0a6b8a7345,
634,185738,185738,185738,6692851,1996.0,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,10.0,,PT,AO,,,I,I,,,
361,68544,68544,68544,1170182,1996.0,II,Epicrates cenchria,Reptilia,Serpentes,Boidae,Epicrates,live,2.0,,IT,GY,,T,W,E,,acddb8f7f3,
833,196661,196661,196661,6731701,1996.0,II,Ornithoptera goliath,Insecta,Lepidoptera,Papilionidae,Ornithoptera,bodies,100.0,,JP,ID,,T,C,E,,30fdb1732d,
319,36004,36004,36004,961232,1996.0,II,Sobralia spp.,,Orchidales,Orchidaceae,Sobralia,live,2.0,,US,CR,,S,W,I,,1eef56b137,
877,189872,189872,189872,6702106,1996.0,II,Macaca mulatta,Mammalia,Primates,Cercopithecidae,Macaca,specimens,1.0,,CA,US,,T,C,E,,6ceece5a70,
861,252548,252548,252548,6950332,1996.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,skulls,1.0,,US,CA,,H,W,E,,0f161bdcf1,
598,287984,287984,287984,7306292,1996.0,II,Pectinia spp.,Anthozoa,Scleractinia,Pectiniidae,Pectinia,raw corals,10.0,,JP,ID,,T,W,I,,80f94d139d,
373,40251,40251,40251,995208,1996.0,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,skulls,1.0,,US,CA,,H,W,E,,bcb3b5a0c9,
199,274570,274570,274570,6997255,1996.0,II,Varanus similis,Reptilia,Sauria,Varanidae,Varanus,live,12.0,,US,ID,,T,W,E,,6c37596d71,
714,153992,153992,153992,6596259,1996.0,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,shoes,1.0,,JP,IT,VE,P,W,E,,487857d4a9,
431,26864,26864,26864,838618,1996.0,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,49.0,,US,CA,,T,A,I,,0457cd09b2,
542,60281,60281,60281,1115010,1996.0,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (large),1.0,,JP,IT,KE,T,C,I,,5ab49081a3,
463,70608,70608,70608,1185984,1996.0,II,Euphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,30.0,,US,ID,,T,W,I,,14e19d2d55,5b01a9610a
898,298347,298347,298347,9575292,1996.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,skulls,2.0,,US,CA,US,S,R,E,,be4e922b7b,
395,241402,241402,241402,6939186,1996.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,meat,20.0,kg,US,CA,,H,W,E,,401e59bf38,
258,31058,31058,31058,868509,1996.0,I,Pediocactus peeblesianus,,Caryophyllales,Cactaceae,Pediocactus,live,3.0,,DE,CH,DE,T,A,I,362b8d0605,,3b711fda31
965,119715,119715,119715,1460527,1996.0,II,Tridacna maxima,Bivalvia,Veneroida,Tridacnidae,Tridacna,live,4.0,,US,SB,,T,W,I,,45cc76da5c,
173,232847,232847,232847,6930630,1996.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,DE,CA,,H,W,I,364284abeb,43240fb27a,998bf11c34
345,50354,50354,50354,1051149,1996.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),1.0,,JP,CH,CO,T,C,I,,579a0e1a1b,
235,161921,161921,161921,6615881,1996.0,II,Cleisostoma discolor,,Orchidales,Orchidaceae,Cleisostoma,live,1.0,,FR,TH,,,W,E,,bd9feaf434,
239,5570,5570,5570,573833,1996.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),4.0,,DE,CH,CO,T,C,I,1553817724,e3b1234082,8f2e0b8720
305,10407,10407,10407,622378,1996.0,I,Coryphantha werdermannii,,Caryophyllales,Cactaceae,Coryphantha,seeds,100.0,,DE,US,,B,D,E,,11e4efb510,
800,108424,108424,108424,1387619,1996.0,II,Ramphastos tucanus,Aves,Piciformes,Ramphastidae,Ramphastos,live,4.0,,GB,GY,,T,W,I,669c0c0d84,6958dbae3b,
592,305564,305564,305564,13384334,1996.0,II,Plerogyra spp.,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,raw corals,37.0,,US,ID,,T,W,E,,ca2e10bb66,
678,106679,106679,106679,1378255,1996.0,II,Psephotus varius,Aves,Psittaciformes,Psittacidae,Psephotus,live,4.0,,JP,NL,,T,C,I,,32a84e0945,
581,88536,88536,88536,1266148,1996.0,II,Lobophyllia spp.,Anthozoa,Scleractinia,Mussidae,Lobophyllia,raw corals,30.0,,US,ID,,T,W,E,,06e68fe468,
664,197469,197469,197469,6736316,1996.0,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,skins,1.0,,DE,TZ,,H,W,I,a2aeab7607,927f42fad1,fc38b83dad
228,218771,218771,218771,6800610,1996.0,I,Struthio camelus,Aves,Struthioniformes,Struthionidae,Struthio,live,20.0,,MA,IT,,T,C,I,1e0c6f3e0e,,
583,224269,224269,224269,6814629,1996.0,II,Troides helena,Insecta,Lepidoptera,Papilionidae,Troides,bodies,60.0,,JP,ID,,T,C,E,,c8086406b3,
390,190407,190407,190407,6703694,1996.0,II,Mammillaria rekoi,,Caryophyllales,Cactaceae,Mammillaria,live,1.0,,NL,CH,MX,T,O,E,,,
691,85273,85273,85273,1253314,1996.0,II,Herpolitha spp.,Anthozoa,Scleractinia,Fungiidae,Herpolitha,raw corals,15.0,,US,ID,,T,W,E,,2e4d82f93c,
795,263164,263164,263164,6960948,1996.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,,W,I,,8f11256010,
6,159505,159505,159505,6610102,1996.0,II,Caulastraea spp.,Anthozoa,Scleractinia,Faviidae,Caulastraea,raw corals,10.0,,US,ID,,T,W,E,,88318385b5,
534,279913,279913,279913,7035210,1996.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (large),1.0,,JP,SG,US,T,C,I,,7de126a41a,
77,118694,118694,118694,1450864,1996.0,III,Swietenia macrophylla,,Sapindales,Meliaceae,Swietenia,timber carvings,10.0,,US,HN,,T,W,E,,f22a18dbaf,
103,217288,217288,217288,6795468,1996.0,II,Saguinus imperator,Mammalia,Primates,Cebidae,Saguinus,live,1.0,,BE,CH,,Z,C,I,,8effa742eb,
756,132668,132668,132668,6512517,1996.0,II,Agapornis roseicollis,Aves,Psittaciformes,Psittacidae,Agapornis,live,300.0,,ES,ZA,,T,C,I,,24cb866218,
109,53180,53180,53180,1081199,1996.0,II,Catalaphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Catalaphyllia,live,30.0,,US,ID,,T,W,I,,fd7e67f8af,
958,55413,55413,55413,1085964,1996.0,II,Catalaphyllia spp.,Anthozoa,Scleractinia,Caryophylliidae,Catalaphyllia,raw corals,20.0,,JP,ID,,T,W,I,,0ca0404387,
959,87583,87583,87583,1265195,1996.0,II,Lobophyllia spp.,Anthozoa,Scleractinia,Mussidae,Lobophyllia,raw corals,20.0,,US,ID,,T,W,E,,a5802086e2,
663,99054,99054,99054,1345421,1996.0,II,Plerogyra spp.,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,25.0,,US,ID,,T,W,I,,c790fc5ad8,
648,125791,125791,125791,1989041,1996.0,I,Uncia uncia,Mammalia,Carnivora,Felidae,Uncia,live,2.0,,RU,DE,,Z,C,I,ef7920a734,,
124,106439,106439,106439,1376977,1996.0,II,Psephotus haematonotus,Aves,Psittaciformes,Psittacidae,Psephotus,live,20.0,,CO,NL,,T,C,E,,70853ca852,
