,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
790,508982,508982,508982,9341775,2001.0,II,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,live,1.0,,GR,CD,,P,W,E,,bbaa35c501,
396,25712,25712,25712,1567113,2001.0,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),2030.0,,IT,HU,CO,T,C,I,6f1e28c5c8,b39619772e,
695,85005,85005,85005,1729585,2001.0,II,Gymnocalycium erinaceum,,Caryophyllales,Cactaceae,Gymnocalycium,live,2.0,,US,CA,,T,A,E,,2c23e0efab,
936,372572,372572,372572,7887412,2001.0,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,live,3.0,,CA,US,GY,T,W,E,,49b1c4ea49,
987,501931,501931,501931,8834209,2001.0,II,Paroaria capitata,Aves,Passeriformes,Emberizidae,Paroaria,live,150.0,,NL,PY,,T,W,E,,1f14adae27,
105,358855,358855,358855,7857522,2001.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),16.0,pairs,CH,IT,MY,T,W,E,,e36a9782c0,
934,135615,135615,135615,1856540,2001.0,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,10.0,,US,ID,,T,W,E,,04324ef936,
626,366337,366337,366337,7871601,2001.0,II,Testudo graeca,Reptilia,Testudines,Testudinidae,Testudo,live,2.0,,ES,DZ,XX,,I,I,,,
673,123092,123092,123092,1826778,2001.0,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,FR,ZW,,H,W,I,963814ddf3,c7a32cafcd,
538,472840,472840,472840,8405354,2001.0,II,Siderastrea radians,Anthozoa,Scleractinia,Siderastreidae,Siderastrea,specimens,4.0,,US,DO,,S,W,E,,43660c35cf,
136,514663,514663,514663,13125644,2001.0,II,Dendrobium speciosum,,Orchidales,Orchidaceae,Dendrobium,live,1.0,,KE,AU,,T,A,E,,69d3db2dad,
758,135373,135373,135373,1856298,2001.0,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,20.0,,ZA,ID,,T,W,E,,0c86e87f3a,
511,48364,48364,48364,1630407,2001.0,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,70.0,,KR,ZA,,T,C,I,,49904932f0,
806,135733,135733,135733,1856658,2001.0,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,10.0,,JP,ID,,T,W,E,,ff8d0981d0,
28,352770,352770,352770,7826258,2001.0,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),12.0,,JP,IT,TH,T,W,E,,309c935d31,
