,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
982,728550,728550,728550,10640553,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,SA,CH,US,T,W,E,,57d5dd2b38,bc870f8b67
153,811417,811417,811417,10997439,2007,II,Weberbauerocereus winterianus,,Caryophyllales,Cactaceae,Weberbauerocereus,live,1.0,,CH,DE,,T,A,I,,82bf9909a8,
246,232786,232786,232786,3598952,2007,II,Centrochelys sulcata,Reptilia,Testudines,Testudinidae,Centrochelys,live,110.0,,JP,US,,T,C,I,,8cb76a335d,
887,55937,55937,55937,3133454,2007,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,1.0,,US,IT,ZW,T,W,I,,4ac29360bb,
874,327189,327189,327189,9635957,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,US,DE,US,T,W,E,,415917f123,576dbd7c96
999,233394,233394,233394,3600891,2007,II,Cereus repandus,,Caryophyllales,Cactaceae,Cereus,live,2.0,,US,CA,,T,A,E,,bbb6ab3d5c,
633,502189,502189,502189,10280850,2007,II,Galaxea fascicularis,Anthozoa,Scleractinia,Oculinidae,Galaxea,live,20.0,,GB,ID,,T,W,E,,beb72a8948,
276,727871,727871,727871,10639874,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),38.0,,FR,CH,US,T,W,E,,8d86d5dae8,cf93075cee
892,820333,820333,820333,11242823,2007,II,Euphorbia horrida,,Euphorbiales,Euphorbiaceae,Euphorbia,live,8.0,,US,CA,,T,A,E,,b9a08a7509,
13,568740,568740,568740,10376601,2007,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,live,8.0,,ZA,ZW,,T,C,E,,7d527166e6,
296,401428,401428,401428,10055201,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,FR,CH,US,T,C,I,8f694ecd42,fd10b95759,7f6d01228c
382,362169,362169,362169,10015921,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,RS,AT,US,T,C,E,,697f420ddb,
368,300950,300950,300950,3878319,2007,II,Pilosocereus pachycladus,,Caryophyllales,Cactaceae,Pilosocereus,live,33.0,,CH,NL,,T,A,I,,5cee8fae65,
493,478430,478430,478430,10246253,2007,II,Dionaea muscipula,,Nepenthales,Droseraceae,Dionaea,live,24.0,,US,CA,,T,A,I,,786badb0ca,
750,115337,115337,115337,3265018,2007,II,Kingidium deliciosum,,Orchidales,Orchidaceae,Kingidium,live,10.0,,RU,TH,,T,A,E,,74f8458f5b,
913,556284,556284,556284,10357542,2007,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,trophies,1.0,,US,ET,,H,W,I,,81f9a644ef,
907,126285,126285,126285,3299493,2007,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,live,14.0,,US,ID,,T,W,I,,cefe66a3d1,
734,598670,598670,598670,10409054,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,FR,CH,MY,T,W,I,5ac8244efe,09c3c17fa2,683c0a1e1a
31,741680,741680,741680,10653683,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),75.0,,NL,CH,US,T,C,E,,4e928945b8,8b3b827b80
230,516951,516951,516951,10298393,2007,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,eggs,0.06,kg,SG,FR,AZ,T,W,E,,2fe0de1ae7,ab3c8e2d62
600,444354,444354,444354,10201881,2007,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,live,5.0,,TW,US,,T,C,E,,ed44223ae7,
147,117288,117288,117288,3270600,2007,II,Lobophyllia corymbosa,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,5.0,,US,ID,,T,W,I,,e57d5aa928,
469,75096,75096,75096,3172733,2007,II,Cynarina lacrymalis,Anthozoa,Scleractinia,Mussidae,Cynarina,live,8.0,,US,ID,,T,W,E,,b647f5c7a0,
260,589515,589515,589515,10399887,2007,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),1.0,,CH,IT,VN,T,C,E,,3fe427076c,
900,148984,148984,148984,3367825,2007,II,Pocillopora damicornis,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,live,2.0,,US,ID,,T,W,E,,1f4318e0b5,
634,152604,152604,152604,3375897,2007,II,Polyphyllia talpina,Anthozoa,Scleractinia,Fungiidae,Polyphyllia,live,1.0,,US,ID,,T,W,I,,e789bc5a19,
740,399668,399668,399668,10053441,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,FR,CH,US,T,C,I,4235b9e667,7b05410101,9491128c60
655,18833,18833,18833,3061096,2007,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),166.0,,US,IT,CO,T,C,E,,bae6556e1d,
721,319340,319340,319340,5115657,2007,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,meat,0.5,kg,JP,AU,,P,C,I,,51c946c1df,
234,60590,60590,60590,3147238,2007,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),2.0,,US,IT,AU,T,C,E,,10ec37fb7b,
