,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
458,387716,387716,387716,8670696,2003.0,II,Diploastrea heliopora,Anthozoa,Scleractinia,Faviidae,Diploastrea,live,3.0,,PT,ID,,T,W,I,,7f44be6549,
986,314145,314145,314145,8405656,2003.0,II,Smaug mossambicus,Reptilia,Sauria,Cordylidae,Smaug,live,100.0,,US,MZ,,T,W,E,,750efd5d2d,
562,275540,275540,275540,8094951,2003.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,LB,FR,US,T,C,E,,62fb07acfe,23b555e917
785,446918,446918,446918,8780582,2003.0,II,Mammillaria muehlenpfordtii,,Caryophyllales,Cactaceae,Mammillaria,live,3.0,,US,CA,,T,A,E,,341b41dbb6,
944,118378,118378,118378,2251454,2003.0,II,Mammillaria formosa,,Caryophyllales,Cactaceae,Mammillaria,live,60.0,,US,CA,,T,A,E,,558778bdcd,
861,83589,83589,83589,2182095,2003.0,II,Euphyllia glabrescens,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,25.0,,US,ID,,T,W,E,,e820eb69fd,
710,408990,408990,408990,8708774,2003.0,II,Galanthus nivalis,,Liliales,Amaryllidaceae,Galanthus,live,6000.0,,CA,NL,,T,A,E,,5dc56795cd,
910,143422,143422,143422,2330757,2003.0,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,1.215,kg,CN,CA,,P,A,E,,6029147114,
107,249665,249665,249665,8066033,2003.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),100.0,,CH,AT,US,T,C,E,,,792dfa62a6
275,559104,559104,559104,9218305,2003.0,II,Galaxea fascicularis,Anthozoa,Scleractinia,Oculinidae,Galaxea,raw corals,10.0,,JP,ID,,T,W,I,,518f3d50ea,
321,511176,511176,511176,8924246,2003.0,II,Tridacna derasa,Bivalvia,Veneroida,Tridacnidae,Tridacna,shells,2.0,,FR,NC,,P,W,E,,db6c81a4f4,
385,574675,574675,574675,13135252,2003.0,I,Discocactus spp.,,Caryophyllales,Cactaceae,Discocactus,live,35.0,,US,CA,,T,A,E,,c0a4957ef6,
428,369992,369992,369992,8638343,2003.0,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,trophies,1.0,,US,ZA,,H,W,I,,7dc7ca93d8,
539,16981,16981,16981,2037514,2003.0,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (large),1.0,,US,CH,BO,T,W,I,,2baa772a21,
626,203116,203116,203116,2460560,2003.0,III,Swietenia macrophylla,,Sapindales,Meliaceae,Swietenia,sawn wood,14.53,m3,SE,CA,BR,T,W,I,,7324255384,562e65b138
249,574766,574766,574766,13135665,2003.0,I,Discocactus zehntneri,,Caryophyllales,Cactaceae,Discocactus,live,32.0,,US,CA,,T,A,I,,1dc0c1e60a,
3,40882,40882,40882,2091953,2003.0,II,Cleistocactus strausii,,Caryophyllales,Cactaceae,Cleistocactus,live,7.0,,US,CA,,T,A,E,,2c1054edbc,
165,330921,330921,330921,8511101,2003.0,II,Agapornis personatus,Aves,Psittaciformes,Psittacidae,Agapornis,live,400.0,,ES,ZA,,T,C,E,,954d8560e2,
309,341786,341786,341786,8530323,2003.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,shoes,1.0,,US,IT,US,T,W,I,,27ee548fad,
753,558028,558028,558028,9182734,2003.0,I,Dalbergia nigra,,Fabales,Leguminosae,Dalbergia,carvings,1.0,,JP,US,BR,T,O,I,,0bb498df22,
430,58046,58046,58046,2131008,2003.0,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),5.0,,KR,IT,TH,T,D,I,,8e4d7636f4,
489,177679,177679,177679,2404074,2003.0,II,Python curtus,Reptilia,Serpentes,Pythonidae,Python,skins,715.0,,HK,ES,ID,T,W,E,,138386ba12,
134,443010,443010,443010,8770990,2003.0,II,Macaca mulatta,Mammalia,Primates,Cercopithecidae,Macaca,specimens,6.0,,IE,US,,T,O,E,,5f799cc9d7,
170,310779,310779,310779,8391802,2003.0,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,leather products (small),7.0,,CH,IT,MY,T,W,E,,26937bdda2,
255,352253,352253,352253,8540804,2003.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),45.0,,AE,CH,US,,F,E,,,
239,268601,268601,268601,8088006,2003.0,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),50.0,,CH,DE,US,T,W,E,,8d71e9de93,78c7cc5bda
728,90267,90267,90267,2193598,2003.0,II,Ferocactus herrerae,,Caryophyllales,Cactaceae,Ferocactus,live,10.0,,US,CA,,T,A,E,,0c0d59d06a,
823,111865,111865,111865,2238763,2003.0,II,Lobophyllia corymbosa,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,5.0,,JP,ID,,T,W,E,,78ec4f92d5,
120,526491,526491,526491,8945089,2003.0,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,H,W,I,,,
