,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
608,457731,457731,457731,8932631,2004,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,live,3.0,,US,SV,,T,C,I,,47b9414eb4,
440,593055,593055,593055,9344803,2004,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,leather products (small),5.0,,US,IT,TH,T,W,I,,b502091e4f,
127,57598,57598,57598,2240705,2004,II,Lockhartia amoena,,Orchidales,Orchidaceae,Lockhartia,live,5.0,,US,CR,,T,A,E,,d9951107b9,
919,528718,528718,528718,9142794,2004,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,live,200.0,,US,CO,,T,C,E,,3975f3fdbf,
886,210684,210684,210684,2820472,2004,II,Ornithoptera paradisea,Insecta,Lepidoptera,Papilionidae,Ornithoptera,bodies,2.0,,JP,MY,ID,T,R,E,,eb9dd4be76,
623,562516,562516,562516,9242196,2004,II,Hylocereus undatus,,Caryophyllales,Cactaceae,Hylocereus,live,1040.0,,JP,TH,,T,A,E,,3a56335e28,
351,57329,57329,57329,2239360,2004,II,Lobophyllia corymbosa,Anthozoa,Scleractinia,Mussidae,Lobophyllia,live,10.0,,DE,ID,,T,W,I,0b979db7dd,db831be3e2,
726,83339,83339,83339,2349706,2004,II,Panax quinquefolius,,Apiales,Araliaceae,Panax,roots,0.59,kg,CN,CA,US,P,A,E,,c3b3205173,
717,199651,199651,199651,2784682,2004,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,live,10.0,,US,ID,,T,W,E,,3815491817,
666,573158,573158,573158,9284692,2004,II,Montipora foliosa,Anthozoa,Scleractinia,Acroporidae,Montipora,live,20.0,,NL,ID,,T,W,E,,b6ff341712,
729,278979,278979,278979,8554173,2004,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,SG,DE,US,T,C,E,,988655a25f,1700d48c52
174,398663,398663,398663,8788086,2004,II,Matucana aureiflora,,Caryophyllales,Cactaceae,Matucana,live,52.0,,US,CA,,T,A,E,,d62199bc2f,
341,491734,491734,491734,9010385,2004,II,Aerangis modesta,,Orchidales,Orchidaceae,Aerangis,live,5.0,,JP,US,,T,A,I,,ec59cf4da4,
171,617462,617462,617462,9458194,2004,II,Vanda spp.,,Orchidales,Orchidaceae,Vanda,live,107.0,,VN,TH,,T,A,E,,66988056d8,
648,605669,605669,605669,9408010,2004,I,Saussurea costus,,Asterales,Compositae,Saussurea,roots,1500.0,kg,JP,CN,,T,D,E,,ef1e78cf03,
484,17904,17904,17904,2066398,2004,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),35.0,,MX,CH,CO,T,C,I,d758c4355d,b1b3bb5ab4,
763,333418,333418,333418,8625908,2004,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (large),2.0,pairs,TW,DE,VE,T,W,E,,fd8b4da488,1c5ba06e03
282,203551,203551,203551,2803253,2004,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,live,51.0,,JP,TW,,T,A,I,,be42332bce,
866,529830,529830,529830,9145785,2004,II,Bulbophyllum viridiflorum,,Orchidales,Orchidaceae,Bulbophyllum,live,6.0,,AU,ID,,T,A,E,,4e3c5338bc,
539,329423,329423,329423,8613370,2004,II,Aquilaria malaccensis,,Myrtales,Thymelaeaceae,Aquilaria,chips,200.0,kg,SA,SG,MY,T,W,I,,b2aa97a8f5,
541,28818,28818,28818,2092904,2004,II,Cochleanthes amazonica,,Orchidales,Orchidaceae,Cochleanthes,live,5.0,,DE,CH,DE,T,A,I,a8bec51391,c9a199b730,
84,651062,651062,651062,13444209,2004,II,Selenipedium spp.,,Orchidales,Orchidaceae,Selenipedium,live,8.0,,CA,EC,,T,A,E,,7df7017ec7,
829,37704,37704,37704,2136551,2004,II,Cyclamen hederifolium,,Primulales,Primulaceae,Cyclamen,live,153.0,,CH,NL,TR,T,W,E,,876560f6ba,bea558ac26
226,71044,71044,71044,2313163,2004,II,Pachypodium lamerei,,Gentianales,Apocynaceae,Pachypodium,live,60.0,,US,CA,,T,A,E,,472e913b66,
456,625621,625621,625621,9470817,2004,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,leather products (small),2.0,,JP,FR,TD,T,W,I,,a96c906179,
874,255915,255915,255915,2970154,2004,II,Trachyphyllia geoffroyi,Anthozoa,Scleractinia,Trachyphylliidae,Trachyphyllia,live,10.0,,JP,ID,,T,W,E,,ad9158bd31,
522,42469,42469,42469,2164963,2004,II,Espostoa guentheri,,Caryophyllales,Cactaceae,Espostoa,live,35.0,,US,CA,,T,A,E,,402eba64f2,
354,219643,219643,219643,2863204,2004,II,Plerogyra sinuosa,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,live,15.0,,US,ID,,T,W,I,,019546075b,
847,544248,544248,544248,9191256,2004,II,Eguchipsammia fistula,Anthozoa,Scleractinia,Dendrophylliidae,Eguchipsammia,live,16.0,,US,ID,,T,W,E,,2d94e68b4d,
33,420962,420962,420962,8852930,2004,II,Pilosocereus chrysacanthus,,Caryophyllales,Cactaceae,Pilosocereus,live,5.0,,US,CA,,T,A,E,,d0eb505fe8,
880,26638,26638,26638,2084613,2004,II,Cetacea spp.,Mammalia,Cetacea,,,fibres,1.0,,NZ,AR,,,I,I,,,
318,295032,295032,295032,8570226,2004,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,shoes,2.0,pairs,US,IT,US,T,C,E,,4625c03c40,
347,243183,243183,243183,2932860,2004,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,4400.0,kg,US,FJ,,T,W,I,,8a25ffba36,
813,420355,420355,420355,8852100,2004,II,Physogyra lichtensteini,Anthozoa,Scleractinia,Caryophylliidae,Physogyra,live,11.0,,US,ID,,T,W,I,,415364e7be,
339,390102,390102,390102,8768872,2004,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,specimens,963.0,,CA,US,ID,T,W,E,,c2ab2ba579,
415,493017,493017,493017,9013208,2004,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,ZA,CH,US,T,C,I,4f53b4d7e8,ac90e9ab14,
449,525016,525016,525016,9131618,2004,II,Aloe spp.,,Liliales,Liliaceae,Aloe,live,308.0,,US,CA,,T,A,I,,d0d6963b35,
