,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
498,284320,284320,284320,2993454,2005,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,skulls,2.0,,US,CA,,T,W,E,,171e29d9db,
91,331262,331262,331262,9070010,2005,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),37.0,,US,IT,US,T,C,E,,3bb4a86e02,
368,280081,280081,280081,2985783,2005,II,Turbinaria mesenterina,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,live,10.0,,US,ID,,T,W,E,,5cef7682f8,
181,252259,252259,252259,2941839,2005,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,1150.0,kg,MX,US,ID,T,W,E,,0739b4f952,
71,577146,577146,577146,9407212,2005,II,Rhynchostylis gigantea,,Orchidales,Orchidaceae,Rhynchostylis,live,150.0,,IT,TH,,T,A,I,9ad36ca8b5,f3db009790,
613,197947,197947,197947,2841510,2005,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,trophies,1.0,,US,ZA,ZW,H,W,E,,7d7efb6efa,f3b617cce6
488,79949,79949,79949,2636026,2005,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,meat,1.5,kg,HK,SG,,T,D,E,,7076e6995c,
476,264105,264105,264105,2957213,2005,II,Stenocereus dumortieri,,Caryophyllales,Cactaceae,Stenocereus,live,4.0,,US,CA,,T,A,E,,4370bbd5bf,
222,323646,323646,323646,9062394,2005,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),59.0,,IT,CH,US,T,C,I,db22dfd96d,61a1182cb1,
840,145011,145011,145011,2753399,2005,II,Liasis mackloti,Reptilia,Serpentes,Pythonidae,Liasis,live,1.0,,MO,CA,,T,C,I,c9d8d9559c,,
416,310656,310656,310656,9004448,2005,II,Acropora formosa,Anthozoa,Scleractinia,Acroporidae,Acropora,live,10.0,,CA,US,ID,T,W,E,,7bc333ed59,
229,387250,387250,387250,9126024,2005,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),35.0,,KR,SG,US,T,C,I,,a3ec82dfb1,
895,89818,89818,89818,2655126,2005,II,Cynarina lacrymalis,Anthozoa,Scleractinia,Mussidae,Cynarina,live,7.0,,US,ID,,T,W,E,,efdb080442,
475,633616,633616,633616,9491899,2005,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,leather products (small),3.0,,US,IT,ID,T,W,I,,e0046b980e,
627,498354,498354,498354,9295793,2005,II,Oncidium spp.,,Orchidales,Orchidaceae,Oncidium,live,60.0,,PR,TH,,T,A,E,,2b21be0883,
862,112681,112681,112681,2695881,2005,II,Euphyllia glabrescens,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,95.0,,US,SB,,T,W,I,,3bea6fb9fb,
616,76682,76682,76682,2632613,2005,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,leather products (small),4.0,,CN,IT,AU,T,C,E,,6e042144be,
504,403391,403391,403391,9150018,2005,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),76.0,pairs,CH,IT,VE,T,W,E,,3397ad4dc2,
145,610822,610822,610822,9451441,2005,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,US,CA,,H,W,I,,,
495,323450,323450,323450,9062198,2005,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),180.0,,IT,CH,US,T,C,I,fa5e44e6a6,56b1526de1,
636,735970,735970,735970,13749995,2005,II,Haageocereus pseudomelanostele,,Caryophyllales,Cactaceae,Haageocereus,live,2.0,,US,CA,,T,A,E,,6151912753,
333,130666,130666,130666,2729153,2005,II,Gonystylus spp.,,Myrtales,Thymelaeaceae,Gonystylus,sawn wood,5.1082,m3,JP,MY,,T,W,I,,391f0aa169,
653,531238,531238,531238,9347486,2005,II,Ptyas mucosus,Reptilia,Serpentes,Colubridae,Ptyas,leather products (small),6.0,,JP,IT,TH,T,W,E,,1f310300f6,
720,247039,247039,247039,2926425,2005,II,Salvator rufescens,Reptilia,Sauria,Teiidae,Salvator,skin pieces,10.0,,US,ES,PY,T,W,I,,7ba78b1735,
814,736750,736750,736750,13766637,2005,II,Laelia lucasiana,,Orchidales,Orchidaceae,Laelia,live,17.0,,FR,BR,,T,A,E,,6dc1af71be,
