,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
449,10043,10043,270630,1981.0,II,Euphorbia tubiglans,,Euphorbiales,Euphorbiaceae,Euphorbia,live,1.0,,CA,US,,T,A,E,,7db830a289,
326,41839,41839,5273441,1981.0,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,live,190.0,,FR,US,PH,S,,E,,51f6092972,
807,33716,33716,5183965,1981.0,II,Lorius garrulus,Aves,Psittaciformes,Loriidae,Lorius,live,60.0,,IT,ID,,,,E,,396119c654,
942,35064,35064,5189020,1981.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1.0,,US,ZA,,,,E,,245b5d90e2,
621,31638,31638,5161328,1981.0,II,Ferocactus gracilis,,Caryophyllales,Cactaceae,Ferocactus,seeds,2000.0,,AU,US,MX,T,,E,,f4a0ea488f,
726,51048,51048,5430676,1981.0,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,skins,5000.0,,US,AR,,T,,I,,3bd55c6556,
424,38068,38068,5192862,1981.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,8.0,,US,HK,CD,T,,I,,,
987,56373,56373,5482487,1981.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skins,803.0,,US,GB,ID,T,,I,,,
387,12114,12114,325199,1981.0,II,Mammillaria senilis,,Caryophyllales,Cactaceae,Mammillaria,live,1.0,,DE,US,,T,A,E,,64daefdaa2,
404,29486,29486,5138100,1981.0,II,Echinocactus spp.,,Caryophyllales,Cactaceae,Echinocactus,live,250.0,,US,MX,,T,,I,,7d9689fdae,
830,17383,17383,426165,1981.0,II,Primates spp.,Mammalia,Primates,,,live,4.0,,JP,US,BR,T,,I,,11e6b211b3,
948,39365,39365,5194159,1981.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,leather items,3.0,,US,ZA,,T,,I,,affbd639d1,
115,45960,45960,5331205,1981.0,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,oil,4320.0,kg,GB,NO,,T,,I,,,
264,38799,38799,5193593,1981.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,1.0,,US,HK,ZA,T,,I,,,
311,39710,39710,5194505,1981.0,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,774.0,,JP,HK,,T,,I,,2e0b72f787,
629,50743,50743,5426306,1981.0,II,Trichoceros spp.,,Orchidales,Orchidaceae,Trichoceros,live,9.0,,US,PE,,T,A,I,,e0b1031c3d,
649,31492,31492,5159150,1981.0,II,Falconiformes spp.,Aves,Falconiformes,,,live,24.0,,JP,CN,,T,,I,,,
813,7373,7373,218514,1981.0,II,Dendrobium nobile,,Orchidales,Orchidaceae,Dendrobium,live,1.0,,US,IN,,T,A,I,,f1e18c0700,
695,53740,53740,5456199,1981.0,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,skins,3002.0,,US,GB,NG,T,,I,,,
964,24073,24073,5041010,1981.0,II,Boidae spp.,Reptilia,Serpentes,Boidae,,skins,70.0,,JP,TH,XX,T,,I,,,
305,12675,12675,345116,1981.0,II,Odontoglossum spp.,,Orchidales,Orchidaceae,Odontoglossum,live,500.0,,GB,NL,,T,,I,,,
824,3082,3082,62700,1981.0,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,164.0,kg,HK,BO,,T,,I,,6af987f07e,
662,26900,26900,5086690,1981.0,II,Cervus elaphus bactrianus,Mammalia,Artiodactyla,Cervidae,Cervus,horns,2.0,,BG,SU,,H,,E,,,
254,56301,56301,5482415,1981.0,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skins,14.0,,US,GB,SG,T,,I,,,
